dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,18.348982,13.549999,0.000065,0.012949,1.294921,129.492110,3.142653
0.010000,18.349036,13.550000,0.000118,0.005368,-0.758168,-205.308864,3.142597
0.010000,18.349157,13.550000,0.000239,0.012070,0.670292,142.845933,3.142471
0.010000,18.349371,13.550000,0.000453,0.021436,0.936591,26.629924,3.142248
0.010000,18.349706,13.550000,0.000788,0.033437,1.200105,26.351381,3.141899
0.010000,18.349335,13.550000,0.001159,0.037071,0.363402,-83.670260,3.141413
0.010000,18.347020,13.550001,0.003474,0.231529,19.445779,1908.237705,3.140790
0.010000,18.344186,13.550005,0.006307,0.283310,5.178067,-1426.771180,3.140032
0.010000,18.340833,13.550011,0.009660,0.335300,5.198971,2.090388,3.139141
0.010000,18.336958,13.550023,0.013535,0.387507,5.220737,2.176610,3.138119
0.010000,18.332559,13.550041,0.017935,0.439977,5.246988,2.625019,3.136969
0.010000,18.327631,13.550067,0.022862,0.492753,5.277633,3.064579,3.135695
0.010000,18.322173,13.550103,0.028321,0.545879,5.312578,3.494496,3.134299
0.010000,18.316180,13.550151,0.034314,0.599297,5.341845,2.926608,3.132786
0.010000,18.309648,13.550214,0.040846,0.653197,5.389995,4.815066,3.131160
0.010000,18.302574,13.550294,0.047921,0.707445,5.424748,3.475270,3.129424
0.010000,18.294953,13.550393,0.055542,0.762175,5.473000,4.825190,3.127584
0.010000,18.286780,13.550516,0.063716,0.817385,5.521007,4.800687,3.125645
0.010000,18.278050,13.550664,0.072447,0.873097,5.571189,5.018246,3.123611
0.010000,18.268759,13.550841,0.081740,0.929336,5.623935,5.274625,3.121489
0.010000,18.258900,13.551050,0.091601,0.986085,5.674864,5.092866,3.119284
0.010000,18.248468,13.551295,0.102036,1.043479,5.739389,6.452463,3.117002
0.010000,18.237458,13.551579,0.113050,1.101392,5.791311,5.192247,3.114649
0.010000,18.225863,13.551905,0.124650,1.159975,5.858332,6.702083,3.112231
0.010000,18.213677,13.552278,0.136841,1.219170,5.919441,6.110954,3.109756
0.010000,18.200894,13.552702,0.149631,1.279002,5.983253,6.381132,3.107230
0.010000,18.187507,13.553179,0.163026,1.339498,6.049588,6.633526,3.104659
0.010000,18.173511,13.553715,0.177033,1.400681,6.118269,6.868070,3.102051
0.010000,18.158897,13.554312,0.191659,1.462572,6.189116,7.084740,3.099414
0.010000,18.143660,13.554976,0.206910,1.525122,6.255015,6.589921,3.096753
0.010000,18.127793,13.555709,0.222795,1.588444,6.332162,7.714621,3.094078
0.010000,18.111288,13.556516,0.239319,1.652424,6.398041,6.587991,3.091395
0.010000,18.094139,13.557401,0.256491,1.717189,6.476496,7.845415,3.088712
0.010000,18.076339,13.558367,0.274318,1.782687,6.549813,7.331716,3.086037
0.010000,18.057879,13.559419,0.292807,1.848935,6.624786,7.497293,3.083377
0.010000,18.038754,13.560559,0.311966,1.915948,6.701275,7.648956,3.080741
0.010000,18.018955,13.561791,0.331804,1.983719,6.777135,7.585969,3.078137
0.010000,17.998475,13.563119,0.352326,2.052252,6.853278,7.614318,3.075572
0.010000,17.977307,13.564545,0.373542,2.121603,6.935165,8.188668,3.073055
0.010000,17.955444,13.566074,0.395459,2.191708,7.010410,7.524533,3.070594
0.010000,17.932876,13.567706,0.418085,2.262620,7.091274,8.086391,3.068197
0.010000,17.909598,13.569445,0.441429,2.334345,7.172446,8.117211,3.065873
0.010000,17.885600,13.571293,0.465498,2.406877,7.253260,8.081376,3.063630
0.010000,17.860875,13.573252,0.490300,2.480233,7.335598,8.233758,3.061476
0.010000,17.835415,13.575323,0.515844,2.554428,7.419424,8.382644,3.059421
0.010000,17.809211,13.577507,0.542139,2.629438,7.501068,8.164422,3.057473
0.010000,17.782256,13.579805,0.569192,2.705341,7.590295,8.922716,3.055641
0.010000,17.754540,13.582217,0.597013,2.782092,7.675098,8.480218,3.053935
0.010000,17.726054,13.584744,0.625611,2.859751,7.765926,9.082830,3.052362
0.010000,17.696790,13.587383,0.654994,2.938309,7.855777,8.985079,3.050934
0.010000,17.666737,13.590135,0.685172,3.017793,7.948389,9.261219,3.049659
0.010000,17.635888,13.592997,0.716154,3.098232,8.043871,9.548178,3.048547
0.010000,17.604230,13.595967,0.747950,3.179655,8.142347,9.847628,3.047610
0.010000,17.571754,13.599041,0.780571,3.262095,8.243961,10.161411,3.046856
0.010000,17.538449,13.602215,0.814027,3.345582,8.348703,10.474162,3.046298
0.010000,17.504304,13.605486,0.848329,3.430149,8.456755,10.805284,3.045946
0.010000,17.469307,13.608846,0.883487,3.515854,8.570459,11.370366,3.045813
0.010000,17.433444,13.612291,0.919515,3.602736,8.688219,11.776023,3.045910
0.010000,17.396704,13.615811,0.956423,3.690854,8.811735,12.351543,3.046251
0.010000,17.359072,13.619400,0.994226,3.780269,8.941555,12.982051,3.046848
0.010000,17.320534,13.623046,1.032936,3.871050,9.078095,13.653941,3.047717
0.010000,17.281073,13.626739,1.072569,3.963268,9.221809,14.371481,3.048872
0.010000,17.240675,13.630467,1.113139,4.057006,9.373792,15.198298,3.050329
0.010000,17.199321,13.634215,1.154663,4.152380,9.537408,16.361558,3.052105
0.010000,17.156992,13.637969,1.197157,4.249459,9.707849,17.044083,3.054218
