dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,18.347141,11.630004,0.000065,0.012950,1.294964,129.496403,3.138614
0.010000,18.347177,11.630004,0.000101,0.003606,-0.934347,-222.931116,3.138652
0.010000,18.347258,11.630004,0.000182,0.008115,0.450844,138.519115,3.138736
0.010000,18.347402,11.630004,0.000326,0.014428,0.631385,18.054146,3.138887
0.010000,18.347628,11.630003,0.000552,0.022551,0.812240,18.085426,3.139122
0.010000,18.347944,11.630002,0.000868,0.031584,0.903343,9.110327,3.139451
0.010000,18.348350,11.630001,0.001274,0.040631,0.904652,0.130885,3.139874
0.010000,18.348847,11.630001,0.001771,0.049694,0.906335,0.168320,3.140392
0.010000,18.349435,11.630000,0.002359,0.058778,0.908393,0.205785,3.141004
0.010000,18.349300,11.630000,0.002493,0.013459,-4.531952,-544.034501,3.141711
0.010000,18.344562,11.629997,0.007231,0.473786,46.032698,5056.465053,3.142515
0.010000,18.339274,11.629990,0.012520,0.528861,5.507581,-4052.511707,3.143414
0.010000,18.333437,11.629977,0.018357,0.583717,5.485554,-2.202738,3.144409
0.010000,18.327036,11.629955,0.024757,0.640019,5.630209,14.465470,3.145504
0.010000,18.320088,11.629924,0.031706,0.694879,5.485990,-14.421858,3.146696
0.010000,18.312590,11.629881,0.039204,0.749805,5.492612,0.662203,3.147988
0.010000,18.304534,11.629824,0.047260,0.805571,5.576589,8.397683,3.149380
0.010000,18.295937,11.629750,0.055857,0.859751,5.417974,-15.861508,3.150873
0.010000,18.286782,11.629658,0.065013,0.915597,5.584611,16.663710,3.152470
0.010000,18.277086,11.629544,0.074710,0.969654,5.405729,-17.888163,3.154169
0.010000,18.266839,11.629406,0.084957,1.024759,5.510499,10.476941,3.155973
0.010000,18.256047,11.629241,0.095750,1.079310,5.455079,-5.541937,3.157884
0.010000,18.244718,11.629045,0.107081,1.133049,5.373920,-8.115985,3.159901
0.010000,18.232837,11.628814,0.118964,1.188320,5.527141,15.322180,3.162029
0.010000,18.220419,11.628547,0.131385,1.242127,5.380636,-14.650545,3.164267
0.010000,18.207465,11.628238,0.144343,1.295740,5.361330,-1.930624,3.166617
0.010000,18.193977,11.627884,0.157836,1.349321,5.358129,-0.320104,3.169081
0.010000,18.179945,11.627480,0.171873,1.403741,5.441994,8.386499,3.171661
0.010000,18.165382,11.627022,0.186443,1.456994,5.325226,-11.676794,3.174360
0.010000,18.150290,11.626506,0.201544,1.510114,5.311993,-1.323228,3.177178
0.010000,18.134670,11.625927,0.217175,1.563086,5.297267,-1.472589,3.180118
0.010000,18.118524,11.625280,0.233334,1.615882,5.279568,-1.769967,3.183183
0.010000,18.101855,11.624560,0.250019,1.668471,5.258871,-2.069697,3.186374
0.010000,18.084665,11.623761,0.267227,1.720822,5.235158,-2.371326,3.189694
0.010000,18.066958,11.622878,0.284956,1.772906,5.208414,-2.674365,3.193146
0.010000,18.048737,11.621905,0.303203,1.824693,5.178631,-2.978287,3.196732
