dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,18.350000,12.590000,0.000065,0.012950,1.294964,129.496403,3.138614
0.010000,18.350000,12.590000,0.000324,0.038849,2.589928,129.496403,3.138652
0.010000,18.350000,12.590000,0.000906,0.077698,3.884892,129.496403,3.138736
0.010000,18.350000,12.590000,0.001942,0.129496,5.179856,129.496403,3.138887
0.010000,18.350000,12.590000,0.003561,0.194245,6.474820,129.496403,3.139122
0.010000,18.350000,12.590000,0.005827,0.258993,6.474820,0.000000,3.139451
0.010000,18.350000,12.590000,0.008741,0.323741,6.474820,-0.000000,3.139874
0.010000,18.350000,12.590000,0.012302,0.388489,6.474820,0.000000,3.140392
0.010000,18.350000,12.590000,0.016511,0.453237,6.474820,0.000000,3.141004
0.010000,18.349186,12.590000,0.021367,0.517986,6.474820,-0.000000,3.141711
0.010000,18.343677,12.589997,0.026871,0.582734,6.474820,0.000000,3.142515
0.010000,18.337525,12.589989,0.033022,0.647482,6.474820,-0.000000,3.143414
0.010000,18.330733,12.589973,0.039820,0.712230,6.474820,0.000000,3.144409
0.010000,18.323282,12.589948,0.047266,0.776978,6.474820,0.000000,3.145504
0.010000,18.315188,12.589911,0.055360,0.841727,6.474820,0.000000,3.146696
0.010000,18.306451,12.589861,0.064101,0.906475,6.474820,0.000000,3.147988
0.010000,18.297058,12.589795,0.073489,0.971223,6.474820,-0.000000,3.149380
0.010000,18.287028,12.589709,0.083525,1.035971,6.474820,0.000000,3.150873
0.010000,18.276340,12.589601,0.094209,1.100719,6.474820,-0.000000,3.152470
0.010000,18.265013,12.589468,0.105540,1.165468,6.474820,0.000000,3.154169
0.010000,18.253034,12.589307,0.117518,1.230216,6.474820,-0.000000,3.155973
0.010000,18.240408,12.589113,0.130144,1.294964,6.474820,0.000000,3.157884
0.010000,18.227143,12.588884,0.143417,1.359712,6.474820,0.000000,3.159901
0.010000,18.213220,12.588614,0.157338,1.424460,6.474820,-0.000000,3.162029
0.010000,18.198653,12.588300,0.171906,1.489209,6.474820,0.000000,3.164267
0.010000,18.183444,12.587937,0.187122,1.553957,6.474820,-0.000000,3.166617
0.010000,18.167592,12.587521,0.202986,1.618705,6.474820,0.000000,3.169081
0.010000,18.151083,12.587046,0.219496,1.683453,6.474820,0.000000,3.171661
0.010000,18.133931,12.586507,0.236655,1.748201,6.474820,-0.000000,3.174360
0.010000,18.116135,12.585898,0.254460,1.812950,6.474820,0.000000,3.177178
0.010000,18.097694,12.585215,0.272914,1.877698,6.474820,-0.000000,3.180118
0.010000,18.078609,12.584450,0.292014,1.942446,6.474820,0.000000,3.183183
0.010000,18.058879,12.583597,0.311763,2.007194,6.474820,0.000000,3.186374
0.010000,18.038506,12.582650,0.332158,2.071942,6.474820,0.000000,3.189694
0.010000,18.017489,12.581602,0.353201,2.136691,6.474820,0.000000,3.193146
0.010000,17.995831,12.580446,0.374892,2.201439,6.474820,-0.000000,3.196732
0.010000,17.973532,12.579174,0.397230,2.266187,6.474820,0.000000,3.200454
0.010000,17.950590,12.577777,0.420216,2.330935,6.474820,-0.000000,3.204317
0.010000,17.927002,12.576248,0.443849,2.395683,6.474820,0.000000,3.208324
0.010000,17.902778,12.574579,0.468129,2.460432,6.474820,-0.000000,3.212477
0.010000,17.877920,12.572760,0.493058,2.525180,6.474820,0.000000,3.216778
0.010000,17.852420,12.570782,0.518633,2.589928,6.474820,0.000000,3.221232
0.010000,17.826283,12.568636,0.544856,2.654676,6.474820,0.000000,3.225843
0.010000,17.799520,12.566312,0.571727,2.719424,6.474820,0.000000,3.230612
0.010000,17.772110,12.563797,0.599245,2.784173,6.474820,-0.000000,3.235548
0.010000,17.744082,12.561084,0.627410,2.848921,6.474820,0.000000,3.240648
0.010000,17.715412,12.558158,0.656223,2.913669,6.474820,0.000000,3.245922
0.010000,17.686124,12.555011,0.685683,2.978417,6.474820,0.000000,3.251369
0.010000,17.656205,12.551628,0.715791,3.043165,6.474820,-0.000000,3.256998
0.010000,17.625663,12.547998,0.746547,3.107914,6.474820,-0.000000,3.262811
0.010000,17.594506,12.544108,0.777950,3.172662,6.474820,0.000000,3.268811
0.010000,17.562728,12.539943,0.810000,3.237410,6.474820,0.000000,3.275005
0.010000,17.530332,12.535490,0.842698,3.302158,6.474820,0.000000,3.281399
0.010000,17.497326,12.530735,0.876043,3.366906,6.474820,0.000000,3.287994
0.010000,17.463714,12.525662,0.910036,3.431655,6.474820,-0.000000,3.294798
0.010000,17.429499,12.520256,0.944676,3.496403,6.474820,0.000000,3.301814
0.010000,17.394684,12.514500,0.979964,3.561151,6.474820,0.000000,3.309049
0.010000,17.359274,12.508379,1.015899,3.625899,6.474820,-0.000000,3.316507
0.010000,17.323274,12.501875,1.052482,3.690647,6.474820,0.000000,3.324194
0.010000,17.286691,12.494970,1.089712,3.755396,6.474820,-0.000000,3.332115
0.010000,17.249530,12.487646,1.127590,3.820144,6.474820,0.000000,3.340275
0.010000,17.211797,12.479884,1.166115,3.884892,6.474820,-0.000000,3.348680
0.010000,17.173493,12.471663,1.205288,3.949640,6.474820,0.000000,3.357337
0.010000,17.134635,12.462966,1.245108,4.014388,6.474820,-0.000000,3.366249
0.010000,17.095229,12.453771,1.285576,4.079137,6.474820,0.000000,3.375423
0.010000,17.055275,12.444056,1.326691,4.143885,6.474820,-0.000000,3.384864
0.010000,17.014796,12.433801,1.368453,4.208633,6.474820,0.000000,3.394576
0.010000,16.973785,12.422980,1.410863,4.273381,6.474820,-0.000000,3.404566
0.010000,16.932268,12.411575,1.453921,4.338129,6.474820,0.000000,3.414838
0.010000,16.890248,12.399560,1.497626,4.402878,6.474820,0.000000,3.425396
0.010000,16.847736,12.386910,1.541978,4.467626,6.474820,0.000000,3.436246
0.010000,16.804749,12.373602,1.586978,4.532374,6.474820,0.000000,3.447391
0.010000,16.761300,12.359612,1.632626,4.597122,6.474820,0.000000,3.458835
0.010000,16.717402,12.344913,1.678921,4.661871,6.474820,-0.000000,3.470581
0.010000,16.673070,12.329480,1.725863,4.726619,6.474820,0.000000,3.482633
0.010000,16.628320,12.313287,1.773453,4.791367,6.474820,-0.000000,3.494991
0.010000,16.583170,12.296306,1.821691,4.856115,6.474820,0.000000,3.507659
0.010000,16.537638,12.278513,1.870576,4.920863,6.474820,0.000000,3.520636
0.010000,16.491744,12.259879,1.920108,4.985612,6.474820,0.000000,3.533923
0.010000,16.445509,12.240380,1.970288,5.050360,6.474820,-0.000000,3.547518
0.010000,16.398955,12.219987,2.021115,5.115108,6.474820,0.000000,3.561420
0.010000,16.352098,12.198672,2.072590,5.179856,6.474820,-0.000000,3.575627
0.010000,16.304971,12.176412,2.124712,5.244604,6.474820,0.000000,3.590132
0.010000,16.257591,12.153177,2.177482,5.309353,6.474820,-0.000000,3.604934
0.010000,16.209990,12.128945,2.230899,5.374101,6.474820,0.000000,3.620022
0.010000,16.162187,12.103686,2.284964,5.438849,6.474820,-0.000000,3.635393
0.010000,16.114215,12.077378,2.339676,5.503597,6.474820,0.000000,3.651034
0.010000,16.066103,12.049998,2.395036,5.568345,6.474820,0.000000,3.666936
0.010000,16.017877,12.021520,2.451043,5.633094,6.474820,0.000000,3.683088
0.010000,15.969569,11.991922,2.507698,5.697842,6.474820,-0.000000,3.699475
0.010000,15.921209,11.961185,2.565000,5.762590,6.474820,0.000000,3.716082
0.010000,15.872829,11.929288,2.622950,5.827338,6.474820,-0.000000,3.732894
0.010000,15.824461,11.896211,2.681547,5.892086,6.474820,0.000000,3.749893
0.010000,15.776137,11.861939,2.740791,5.956835,6.474820,-0.000000,3.767059
0.010000,15.727890,11.826455,2.800683,6.021583,6.474820,0.000000,3.784372
0.010000,15.679751,11.789745,2.861223,6.086331,6.474820,-0.000000,3.801811
0.010000,15.631754,11.751798,2.922410,6.151079,6.474820,0.000000,3.819354
0.010000,15.583931,11.712602,2.984245,6.215827,6.474820,0.000000,3.836976
0.010000,15.536313,11.672148,3.046727,6.280576,6.474820,0.000000,3.854655
0.010000,15.488934,11.630431,3.109856,6.345324,6.474820,-0.000000,3.872364
0.010000,15.441822,11.587444,3.173633,6.410072,6.474820,0.000000,3.890080
0.010000,15.395008,11.543185,3.238058,6.474820,6.474820,-0.000000,3.907776
0.010000,15.348521,11.497653,3.303129,6.539568,6.474820,0.000000,3.925427
0.010000,15.302389,11.450847,3.368849,6.604317,6.474820,-0.000000,3.943008
0.010000,15.256639,11.402771,3.435216,6.669065,6.474820,0.000000,3.960494
0.010000,15.211295,11.353428,3.502230,6.733813,6.474820,-0.000000,3.977860
0.010000,15.166382,11.302824,3.569892,6.798561,6.474820,0.000000,3.995083
0.010000,15.121921,11.250966,3.638201,6.863309,6.474820,0.000000,4.012139
0.010000,15.077933,11.197862,3.707158,6.928058,6.474820,0.000000,4.029007
0.010000,15.034437,11.143523,3.776763,6.992806,6.474820,-0.000000,4.045665
0.010000,14.991449,11.087960,3.847014,7.057554,6.474820,0.000000,4.062095
0.010000,14.948986,11.031185,3.917914,7.122302,6.474820,0.000000,4.078276
0.010000,14.907059,10.973211,3.989460,7.187050,6.474820,0.000000,4.094193
0.010000,14.865682,10.914052,4.061655,7.251799,6.474820,-0.000000,4.109828
0.010000,14.824863,10.853723,4.134496,7.316547,6.474820,0.000000,4.125168
0.010000,14.784610,10.792239,4.207986,7.381295,6.474820,0.000000,4.140200
0.010000,14.744929,10.729616,4.282122,7.446043,6.474820,-0.000000,4.154912
0.010000,14.705825,10.665871,4.356906,7.510791,6.474820,0.000000,4.169293
0.010000,14.667300,10.601020,4.432338,7.575540,6.474820,0.000000,4.183334
0.010000,14.629355,10.535080,4.508417,7.640288,6.474820,0.000000,4.197028
0.010000,14.591989,10.468067,4.585144,7.705036,6.474820,-0.000000,4.210367
