dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,18.352859,13.549996,0.000065,0.012950,1.294964,129.496403,3.138614
0.010000,18.352823,13.549996,0.000101,0.003606,-0.934347,-222.931116,3.138652
0.010000,18.352742,13.549996,0.000182,0.008115,0.450844,138.519115,3.138736
0.010000,18.352598,13.549996,0.000326,0.014428,0.631385,18.054146,3.138887
0.010000,18.352372,13.549997,0.000552,0.022551,0.812240,18.085426,3.139122
0.010000,18.352056,13.549998,0.000868,0.031584,0.903343,9.110327,3.139451
0.010000,18.351650,13.549999,0.001274,0.040631,0.904652,0.130885,3.139874
0.010000,18.351153,13.549999,0.001771,0.049694,0.906335,0.168320,3.140392
0.010000,18.350565,13.550000,0.002359,0.058778,0.908393,0.205785,3.141004
0.010000,18.349073,13.550000,0.003851,0.149267,9.048933,814.054044,3.141711
0.010000,18.342792,13.549997,0.010132,0.628076,47.880894,3883.196017,3.142515
0.010000,18.335777,13.549987,0.017147,0.701518,7.344173,-4053.672056,3.143414
0.010000,18.328029,13.549969,0.024895,0.774811,7.329289,-1.488389,3.144409
0.010000,18.319527,13.549940,0.033397,0.850185,7.537411,20.812174,3.145504
0.010000,18.310289,13.549899,0.042635,0.923821,7.363592,-17.381891,3.146696
0.010000,18.300311,13.549841,0.052613,0.997737,7.391597,2.800539,3.147988
0.010000,18.289582,13.549765,0.063343,1.072981,7.524404,13.280651,3.149380
0.010000,18.278119,13.549668,0.074806,1.146339,7.335786,-18.861818,3.150873
0.010000,18.265898,13.549544,0.087028,1.222163,7.582415,24.662904,3.152470
0.010000,18.252940,13.549392,0.099986,1.295862,7.369864,-21.255051,3.154169
0.010000,18.239229,13.549208,0.113699,1.371240,7.537789,16.792449,3.155973
0.010000,18.224769,13.548986,0.128160,1.446175,7.493563,-4.422548,3.157884
0.010000,18.209568,13.548723,0.143364,1.520338,7.416323,-7.723993,3.159901
0.010000,18.193602,13.548414,0.159333,1.596895,7.655631,23.930763,3.162029
0.010000,18.176887,13.548053,0.176051,1.671840,7.494548,-16.108324,3.164267
0.010000,18.159423,13.547637,0.193520,1.746900,7.505943,1.139516,3.166617
0.010000,18.141207,13.547158,0.211743,1.822310,7.541082,3.513897,3.169081
0.010000,18.122222,13.546612,0.230736,1.899274,7.696320,15.523810,3.171661
0.010000,18.102480,13.545991,0.250487,1.975099,7.582499,-11.382087,3.174360
0.010000,18.081980,13.545291,0.270999,2.051205,7.610600,2.810072,3.177178
0.010000,18.060719,13.544502,0.292275,2.127594,7.638952,2.835182,3.180118
0.010000,18.038694,13.543620,0.314317,2.204250,7.665583,2.663141,3.183183
0.010000,18.015904,13.542635,0.337129,2.281155,7.690489,2.490577,3.186374
0.010000,17.992346,13.541540,0.360712,2.358292,7.713667,2.317796,3.189694
0.010000,17.968020,13.540327,0.385068,2.435643,7.735118,2.145119,3.193146
0.010000,17.942924,13.538987,0.410200,2.513191,7.754847,1.972873,3.196732
0.010000,17.917057,13.537511,0.436109,2.590920,7.772861,1.801397,3.200454
0.010000,17.890414,13.535889,0.462802,2.669254,7.833448,6.058705,3.204317
0.010000,17.862987,13.534112,0.490286,2.748393,7.913867,8.041911,3.208324
0.010000,17.834786,13.532168,0.518554,2.826804,7.841083,-7.278384,3.212477
0.010000,17.805810,13.530048,0.547607,2.905325,7.852153,1.107033,3.216778
0.010000,17.776047,13.527740,0.577460,2.985299,7.997353,14.519950,3.221232
0.010000,17.745498,13.525231,0.608112,3.065175,7.987615,-0.973733,3.225843
0.010000,17.714174,13.522510,0.639554,3.144218,7.904287,-8.332860,3.230612
0.010000,17.682046,13.519563,0.671817,3.226241,8.202277,29.799044,3.235548
0.010000,17.649145,13.516378,0.704872,3.305531,7.929019,-27.325853,3.240648
0.010000,17.615438,13.512939,0.738754,3.388206,8.267516,33.849701,3.245922
0.010000,17.580950,13.509233,0.773440,3.468586,8.037959,-22.955704,3.251369
0.010000,17.545661,13.505243,0.808954,3.551387,8.280099,24.214004,3.256998
0.010000,17.509579,13.500954,0.845290,3.633673,8.228648,-5.145110,3.262811
0.010000,17.472705,13.496350,0.882450,3.715976,8.230285,0.163728,3.268811
0.010000,17.435031,13.491413,0.920446,3.799629,8.365337,13.505231,3.275005
0.010000,17.396555,13.486124,0.959284,3.883804,8.417454,5.211724,3.281399
0.010000,17.357282,13.480465,0.998962,3.967793,8.398886,-1.856875,3.287994
0.010000,17.317212,13.474417,1.039486,4.052388,8.459497,6.061110,3.294798
0.010000,17.276344,13.467960,1.080862,4.137558,8.517007,5.750979,3.301814
0.010000,17.234676,13.461072,1.123094,4.223271,8.571353,5.434613,3.309049
0.010000,17.192211,13.453731,1.166189,4.309496,8.622478,5.112550,3.316507
0.010000,17.148950,13.445914,1.210151,4.396199,8.670331,4.785315,3.324194
0.010000,17.104894,13.437599,1.254985,4.483348,8.714866,4.453420,3.332115
0.010000,17.060048,13.428760,1.300694,4.570908,8.756039,4.117347,3.340275
0.010000,17.014411,13.419372,1.347287,4.659264,8.835613,7.957442,3.348680
0.010000,16.967981,13.409408,1.394773,4.748680,8.941562,10.594898,3.357337
0.010000,16.920774,13.398842,1.443148,4.837500,8.882025,-5.953764,3.366249
0.010000,16.872792,13.387646,1.492419,4.927104,8.960359,7.833378,3.375423
0.010000,16.824031,13.375789,1.542601,5.018180,9.107658,14.729954,3.384864
0.010000,16.774514,13.363244,1.593683,5.108121,8.994004,-11.365421,3.394576
0.010000,16.724230,13.349977,1.645687,5.200473,9.235263,24.125894,3.404566
0.010000,16.673205,13.335959,1.698604,5.291634,9.116091,-11.917154,3.414838
0.010000,16.621440,13.321157,1.752443,5.383945,9.231070,11.497824,3.425396
0.010000,16.568944,13.305536,1.807214,5.477100,9.315508,8.443811,3.436246
0.010000,16.515736,13.289065,1.862913,5.569872,9.277190,-3.831780,3.447391
0.010000,16.461830,13.271707,1.919545,5.663190,9.331806,5.461574,3.458835
0.010000,16.407239,13.253428,1.977114,5.756953,9.376368,4.456275,3.470581
0.010000,16.351981,13.234191,2.035625,5.851059,9.410592,3.422370,3.482633
0.010000,16.296075,13.213960,2.095079,5.945402,9.434221,2.362856,3.494991
0.010000,16.239542,13.192699,2.155478,6.039872,9.447031,1.280995,3.507659
0.010000,16.182407,13.170371,2.216821,6.134360,9.448834,0.180338,3.520636
0.010000,16.124695,13.146939,2.279109,6.228755,9.439481,-0.935269,3.533923
0.010000,16.066435,13.122368,2.342338,6.322944,9.418865,-2.061661,3.547518
0.010000,16.007656,13.096620,2.406509,6.417082,9.413785,-0.507983,3.561420
0.010000,15.948386,13.069658,2.471624,6.511490,9.440876,2.709088,3.575627
0.010000,15.888667,13.041450,2.537669,6.604481,9.299075,-14.180031,3.590132
0.010000,15.828529,13.011959,2.604649,6.698031,9.354999,5.592349,3.604934
0.010000,15.768020,12.981155,2.672548,6.789889,9.185756,-16.924322,3.620022
0.010000,15.707170,12.949002,2.741370,6.882211,9.232205,4.644976,3.635393
0.010000,15.646033,12.915475,2.811097,6.972679,9.046794,-18.541129,3.651034
0.010000,15.584654,12.880543,2.881720,7.062326,8.964757,-8.203677,3.666936
0.010000,15.523076,12.844181,2.953232,7.151186,8.885958,-7.879912,3.683088
0.010000,15.461354,12.806365,3.025618,7.238594,8.740848,-14.510980,3.699475
0.010000,15.399539,12.767076,3.098862,7.324461,8.586639,-15.420936,3.716082
0.010000,15.337685,12.726295,3.172950,7.408791,8.433069,-15.356973,3.732894
0.010000,15.275847,12.684007,3.247865,7.491428,8.263673,-16.939600,3.749893
0.010000,15.214081,12.640202,3.323587,7.572227,8.079907,-18.376593,3.767059
0.010000,15.152444,12.594871,3.400099,7.651198,7.897126,-18.278153,3.784372
0.010000,15.090992,12.548009,3.477380,7.728091,7.689309,-20.781706,3.801811
0.010000,15.029785,12.499617,3.555406,7.802674,7.458304,-23.100507,3.819354
0.010000,14.968878,12.449698,3.634156,7.874996,7.232192,-22.611159,3.836976
0.010000,14.908326,12.398256,3.713610,7.945308,7.031138,-20.105455,3.854655
0.010000,14.848187,12.345304,3.793738,8.012893,6.758531,-27.260647,3.872364
0.010000,14.788512,12.290854,3.874521,8.078292,6.539879,-21.865253,3.890080
