dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,18.351018,11.630001,0.000065,0.012949,1.294921,129.492110,3.142653
0.010000,18.350964,11.630000,0.000118,0.005368,-0.758168,-205.308864,3.142597
0.010000,18.350843,11.630000,0.000239,0.012070,0.670292,142.845933,3.142471
0.010000,18.350629,11.630000,0.000453,0.021436,0.936591,26.629924,3.142248
0.010000,18.350294,11.630000,0.000788,0.033437,1.200105,26.351381,3.141899
0.010000,18.348990,11.630000,0.002092,0.130454,9.701623,850.151842,3.141413
0.010000,18.345478,11.630002,0.005604,0.351172,22.071871,1237.024820,3.140790
0.010000,18.341189,11.630007,0.009893,0.428880,7.770743,-1430.112828,3.140032
0.010000,18.336125,11.630017,0.014957,0.506409,7.752948,-1.779490,3.139141
0.010000,18.330288,11.630034,0.020794,0.583687,7.727806,-2.514179,3.138119
0.010000,18.323682,11.630061,0.027401,0.660697,7.700966,-2.684085,3.136969
0.010000,18.316307,11.630100,0.034775,0.737422,7.672454,-2.851120,3.135695
0.010000,18.308169,11.630154,0.042914,0.813845,7.642303,-3.015191,3.134299
0.010000,18.299271,11.630225,0.051812,0.889804,7.595912,-4.639100,3.132786
0.010000,18.289617,11.630318,0.061467,0.965504,7.570039,-2.587222,3.131160
0.010000,18.279211,11.630436,0.071873,1.040674,7.517024,-5.301537,3.129424
0.010000,18.268057,11.630582,0.083028,1.115444,7.476989,-4.003461,3.127584
0.010000,18.256161,11.630760,0.094925,1.189743,7.429865,-4.712445,3.125645
0.010000,18.243528,11.630974,0.107561,1.263538,7.379549,-5.031565,3.123611
0.010000,18.230162,11.631229,0.120929,1.336808,7.326917,-5.263188,3.121489
0.010000,18.216070,11.631528,0.135023,1.409468,7.266029,-6.088789,3.119284
0.010000,18.201258,11.631875,0.149840,1.481660,7.219208,-4.682194,3.117002
0.010000,18.185732,11.632276,0.165371,1.553154,7.149397,-6.981056,3.114649
0.010000,18.169497,11.632733,0.181613,1.624117,7.096278,-5.311934,3.112231
0.010000,18.152561,11.633251,0.198557,1.694421,7.030399,-6.587899,3.109756
0.010000,18.134930,11.633835,0.216197,1.764064,6.964292,-6.610680,3.107230
0.010000,18.116611,11.634488,0.234528,1.833043,6.897956,-6.633631,3.104659
0.010000,18.097611,11.635215,0.253541,1.901357,6.831377,-6.657847,3.102051
0.010000,18.077938,11.636020,0.273232,1.969002,6.764532,-6.684478,3.099414
