dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,16.415639,7.330003,0.000065,0.012950,1.294964,129.496403,3.139133
0.010000,16.415681,7.330003,0.000107,0.004214,-0.873594,-216.855804,3.139177
0.010000,16.415776,7.330003,0.000202,0.009481,0.526729,140.032341,3.139275
0.010000,16.415944,7.330002,0.000370,0.016856,0.737468,21.073890,3.139451
0.010000,16.416207,7.330002,0.000634,0.026338,0.948279,21.081094,3.139725
0.010000,16.416576,7.330001,0.001002,0.036877,1.053840,10.556055,3.140110
0.010000,16.417050,7.330000,0.001477,0.047418,1.054138,0.029870,3.140603
0.010000,16.417630,7.330000,0.002056,0.057963,1.054519,0.038074,3.141207
0.010000,16.416378,7.330000,0.003308,0.125167,6.720368,566.584869,3.141921
0.010000,16.412312,7.329997,0.007374,0.406618,28.145042,2142.467409,3.142745
0.010000,16.407707,7.329989,0.011980,0.460561,5.394314,-2275.072848,3.143680
0.010000,16.402558,7.329976,0.017128,0.514822,5.426168,3.185428,3.144725
0.010000,16.396870,7.329955,0.022817,0.568867,5.404417,-2.175100,3.145881
0.010000,16.390641,7.329924,0.029046,0.622926,5.405959,0.154265,3.147148
0.010000,16.383871,7.329882,0.035815,0.676950,5.402436,-0.352312,3.148527
0.010000,16.376561,7.329826,0.043126,0.731042,5.409165,0.672874,3.150018
0.010000,16.368713,7.329753,0.050974,0.784803,5.376071,-3.309417,3.151621
0.010000,16.360324,7.329662,0.059364,0.838995,5.419172,4.310151,3.153337
0.010000,16.351396,7.329549,0.068292,0.892831,5.383611,-3.556190,3.155166
0.010000,16.341931,7.329411,0.077758,0.946602,5.377174,-0.643695,3.157108
0.010000,16.331929,7.329246,0.087762,1.000379,5.377648,0.047468,3.159164
0.010000,16.321389,7.329049,0.098304,1.054193,5.381442,0.379406,3.161334
0.010000,16.310311,7.328818,0.109384,1.108017,5.382326,0.088400,3.163619
0.010000,16.298697,7.328548,0.121001,1.161667,5.365081,-1.724544,3.166020
0.010000,16.286549,7.328236,0.133153,1.215278,5.361107,-0.397394,3.168536
0.010000,16.273865,7.327877,0.145842,1.268839,5.356084,-0.502322,3.171168
0.010000,16.260648,7.327468,0.159066,1.322389,5.354999,-0.108435,3.173917
0.010000,16.246896,7.327004,0.172826,1.375988,5.359876,0.487667,3.176784
0.010000,16.232611,7.326479,0.187120,1.429403,5.341474,-1.840245,3.179768
0.010000,16.217796,7.325891,0.201947,1.482729,5.332577,-0.889696,3.182870
0.010000,16.202450,7.325232,0.217306,1.535957,5.322876,-0.970048,3.186092
0.010000,16.186573,7.324498,0.233201,1.589449,5.349126,2.624939,3.189432
0.010000,16.170167,7.323685,0.249627,1.642622,5.317384,-3.174181,3.192893
0.010000,16.153234,7.322785,0.266584,1.695697,5.307445,-0.993917,3.196474
0.010000,16.135771,7.321793,0.284075,1.749047,5.334969,2.752466,3.200176
0.010000,16.117785,7.320704,0.302094,1.801940,5.289355,-4.561458,3.203999
0.010000,16.099272,7.319510,0.320646,1.855170,5.322952,3.359708,3.207944
0.010000,16.080235,7.318206,0.339727,1.908108,5.293859,-2.909224,3.212011
0.010000,16.060677,7.316786,0.359336,1.960943,5.283530,-1.032953,3.216201
0.010000,16.040595,7.315241,0.379478,2.014143,5.319994,3.646363,3.220514
0.010000,16.019994,7.313566,0.400147,2.066955,5.281196,-3.879791,3.224950
0.010000,15.998873,7.311753,0.421345,2.119782,5.282696,0.150079,3.229510
0.010000,15.977236,7.309794,0.443071,2.172617,5.283512,0.081553,3.234194
0.010000,15.955081,7.307683,0.465326,2.225455,5.283742,0.022972,3.239001
0.010000,15.932412,7.305412,0.488109,2.278290,5.283490,-0.025188,3.243934
0.010000,15.909229,7.302972,0.511420,2.331118,5.282865,-0.062471,3.248990
0.010000,15.885534,7.300355,0.535259,2.383938,5.281981,-0.088444,3.254171
0.010000,15.861328,7.297553,0.559627,2.436748,5.280954,-0.102700,3.259477
0.010000,15.836613,7.294558,0.584522,2.489547,5.279905,-0.104861,3.264907
0.010000,15.811392,7.291361,0.609946,2.542336,5.278959,-0.094578,3.270460
0.010000,15.785665,7.287953,0.635897,2.595171,5.283440,0.448045,3.276138
0.010000,15.759432,7.284324,0.662380,2.648236,5.306549,2.310937,3.281939
0.010000,15.732698,7.280467,0.689390,2.701055,5.281907,-2.464219,3.287862
0.010000,15.705464,7.276370,0.716931,2.754089,5.303344,2.143687,3.293909
0.010000,15.677730,7.272026,0.745003,2.807178,5.308949,0.560499,3.300076
0.010000,15.649500,7.267423,0.773606,2.860304,5.312589,0.364042,3.306365
0.010000,15.620775,7.262552,0.802741,2.913520,5.321593,0.900425,3.312774
0.010000,15.591556,7.257402,0.832411,2.966951,5.343106,2.151263,3.319301
0.010000,15.561846,7.251964,0.862614,3.020321,5.336978,-0.612777,3.325946
0.010000,15.531647,7.246227,0.893353,3.073886,5.356482,1.950418,3.332707
0.010000,15.500960,7.240181,0.924630,3.127742,5.385654,2.917131,3.339583
