dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,16.418000,8.290000,0.000065,0.012950,1.294964,129.496403,3.139133
0.010000,16.418000,8.290000,0.000324,0.038849,2.589928,129.496403,3.139177
0.010000,16.418000,8.290000,0.000906,0.077698,3.884892,129.496403,3.139275
0.010000,16.418000,8.290000,0.001942,0.129496,5.179856,129.496403,3.139451
0.010000,16.418000,8.290000,0.003561,0.194245,6.474820,129.496403,3.139725
0.010000,16.418000,8.290000,0.005827,0.258993,6.474820,0.000000,3.140110
0.010000,16.418000,8.290000,0.008741,0.323741,6.474820,-0.000000,3.140603
0.010000,16.418000,8.290000,0.012302,0.388489,6.474820,0.000000,3.141207
0.010000,16.416063,8.290000,0.016511,0.453237,6.474820,0.000000,3.141921
0.010000,16.411206,8.289996,0.021367,0.517986,6.474820,-0.000000,3.142745
0.010000,16.405703,8.289987,0.026871,0.582734,6.474820,0.000000,3.143680
0.010000,16.399551,8.289971,0.033022,0.647482,6.474820,-0.000000,3.144725
0.010000,16.392753,8.289946,0.039820,0.712230,6.474820,0.000000,3.145881
0.010000,16.385307,8.289909,0.047266,0.776978,6.474820,0.000000,3.147148
0.010000,16.377214,8.289859,0.055360,0.841727,6.474820,0.000000,3.148527
0.010000,16.368473,8.289792,0.064101,0.906475,6.474820,0.000000,3.150018
0.010000,16.359086,8.289705,0.073489,0.971223,6.474820,-0.000000,3.151621
0.010000,16.349050,8.289596,0.083525,1.035971,6.474820,0.000000,3.153337
0.010000,16.338366,8.289460,0.094209,1.100719,6.474820,-0.000000,3.155166
0.010000,16.327037,8.289296,0.105540,1.165468,6.474820,0.000000,3.157108
0.010000,16.315061,8.289098,0.117518,1.230216,6.474820,-0.000000,3.159164
0.010000,16.302438,8.288862,0.130144,1.294964,6.474820,0.000000,3.161334
0.010000,16.289167,8.288585,0.143417,1.359712,6.474820,0.000000,3.163619
0.010000,16.275250,8.288262,0.157338,1.424460,6.474820,-0.000000,3.166020
0.010000,16.260686,8.287887,0.171906,1.489209,6.474820,0.000000,3.168536
0.010000,16.245477,8.287457,0.187122,1.553957,6.474820,-0.000000,3.171168
0.010000,16.229622,8.286967,0.202986,1.618705,6.474820,0.000000,3.173917
0.010000,16.213119,8.286409,0.219496,1.683453,6.474820,0.000000,3.176784
0.010000,16.195972,8.285780,0.236655,1.748201,6.474820,-0.000000,3.179768
0.010000,16.178180,8.285073,0.254460,1.812950,6.474820,0.000000,3.182870
0.010000,16.159745,8.284282,0.272914,1.877698,6.474820,-0.000000,3.186092
0.010000,16.140664,8.283400,0.292014,1.942446,6.474820,0.000000,3.189432
0.010000,16.120940,8.282422,0.311763,2.007194,6.474820,0.000000,3.192893
0.010000,16.100574,8.281339,0.332158,2.071942,6.474820,0.000000,3.196474
0.010000,16.079564,8.280146,0.353201,2.136691,6.474820,0.000000,3.200176
0.010000,16.057914,8.278835,0.374892,2.201439,6.474820,-0.000000,3.203999
0.010000,16.035621,8.277398,0.397230,2.266187,6.474820,0.000000,3.207944
0.010000,16.012689,8.275827,0.420216,2.330935,6.474820,-0.000000,3.212011
0.010000,15.989120,8.274115,0.443849,2.395683,6.474820,0.000000,3.216201
0.010000,15.964909,8.272253,0.468129,2.460432,6.474820,-0.000000,3.220514
0.010000,15.940063,8.270232,0.493058,2.525180,6.474820,0.000000,3.224950
0.010000,15.914582,8.268045,0.518633,2.589928,6.474820,0.000000,3.229510
0.010000,15.888466,8.265681,0.544856,2.654676,6.474820,0.000000,3.234194
0.010000,15.861717,8.263132,0.571727,2.719424,6.474820,0.000000,3.239001
0.010000,15.834336,8.260389,0.599245,2.784173,6.474820,-0.000000,3.243934
0.010000,15.806325,8.257440,0.627410,2.848921,6.474820,0.000000,3.248990
0.010000,15.777686,8.254278,0.656223,2.913669,6.474820,0.000000,3.254171
0.010000,15.748421,8.250890,0.685683,2.978417,6.474820,0.000000,3.259477
0.010000,15.718532,8.247268,0.715791,3.043165,6.474820,-0.000000,3.264907
0.010000,15.688021,8.243401,0.746547,3.107914,6.474820,-0.000000,3.270460
0.010000,15.656891,8.239277,0.777950,3.172662,6.474820,0.000000,3.276138
0.010000,15.625142,8.234885,0.810000,3.237410,6.474820,0.000000,3.281939
0.010000,15.592779,8.230216,0.842698,3.302158,6.474820,0.000000,3.287862
0.010000,15.559805,8.225256,0.876043,3.366906,6.474820,0.000000,3.293909
0.010000,15.526222,8.219995,0.910036,3.431655,6.474820,-0.000000,3.300076
0.010000,15.492033,8.214420,0.944676,3.496403,6.474820,0.000000,3.306365
0.010000,15.457243,8.208520,0.979964,3.561151,6.474820,0.000000,3.312774
0.010000,15.421852,8.202283,1.015899,3.625899,6.474820,-0.000000,3.319301
0.010000,15.385868,8.195697,1.052482,3.690647,6.474820,0.000000,3.325946
0.010000,15.349293,8.188749,1.089712,3.755396,6.474820,-0.000000,3.332707
