dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,16.420361,9.249997,0.000065,0.012950,1.294964,129.496403,3.139133
0.010000,16.420319,9.249997,0.000107,0.004214,-0.873594,-216.855804,3.139177
0.010000,16.420224,9.249997,0.000202,0.009481,0.526729,140.032341,3.139275
0.010000,16.420056,9.249998,0.000370,0.016856,0.737468,21.073890,3.139451
0.010000,16.419793,9.249998,0.000634,0.026338,0.948279,21.081094,3.139725
0.010000,16.419424,9.249999,0.001002,0.036877,1.053840,10.556055,3.140110
0.010000,16.418950,9.250000,0.001477,0.047418,1.054138,0.029870,3.140603
0.010000,16.418370,9.250000,0.002056,0.057963,1.054519,0.038074,3.141207
0.010000,16.415748,9.250000,0.004679,0.262234,20.427100,1937.258124,3.141921
0.010000,16.410099,9.249995,0.010327,0.564857,30.262240,983.513915,3.142745
0.010000,16.403700,9.249985,0.016726,0.639936,7.507937,-2275.430258,3.143680
0.010000,16.396545,9.249966,0.023882,0.715511,7.557517,4.958010,3.144725
0.010000,16.388636,9.249937,0.031790,0.790843,7.533200,-2.431743,3.145881
0.010000,16.379974,9.249894,0.040453,0.866262,7.541820,0.862056,3.147148
0.010000,16.370557,9.249836,0.049870,0.941701,7.543955,0.213444,3.148527
0.010000,16.360384,9.249757,0.060043,1.017310,7.560894,1.693943,3.150018
0.010000,16.349459,9.249657,0.070968,1.092539,7.522924,-3.797051,3.151621
0.010000,16.337775,9.249529,0.082653,1.168455,7.591521,6.859704,3.153337
0.010000,16.325337,9.249372,0.095092,1.243965,7.551076,-4.044418,3.155166
0.010000,16.312143,9.249180,0.108287,1.319481,7.551609,0.053260,3.157108
0.010000,16.298194,9.248949,0.122238,1.395103,7.562194,1.058477,3.159164
0.010000,16.283488,9.248675,0.136947,1.470881,7.577811,1.561742,3.161334
0.010000,16.268023,9.248352,0.152415,1.546779,7.589744,1.193279,3.163619
0.010000,16.251802,9.247975,0.168640,1.622546,7.576685,-1.305901,3.166020
0.010000,16.234824,9.247539,0.185624,1.698370,7.582422,0.573683,3.168536
0.010000,16.217089,9.247038,0.203366,1.774239,7.586934,0.451191,3.171168
0.010000,16.198596,9.246465,0.221868,1.850211,7.597154,1.022029,3.173917
0.010000,16.179343,9.245815,0.241132,1.926370,7.615885,1.873046,3.176784
0.010000,16.159333,9.245081,0.261156,2.002391,7.602128,-1.375677,3.179768
0.010000,16.138565,9.244255,0.281940,2.078408,7.601698,-0.043001,3.182870
0.010000,16.117041,9.243331,0.303484,2.154409,7.600114,-0.158425,3.186092
0.010000,16.094755,9.242302,0.325793,2.230898,7.648912,4.879893,3.189432
0.010000,16.071713,9.241159,0.348864,2.307060,7.616213,-3.269897,3.192893
0.010000,16.047915,9.239894,0.372696,2.383199,7.613859,-0.235409,3.196474
0.010000,16.023356,9.238499,0.397294,2.459838,7.663911,5.005210,3.200176
0.010000,15.998043,9.236966,0.422654,2.535946,7.610762,-5.314935,3.203999
0.010000,15.971971,9.235285,0.448780,2.612632,7.668608,5.784595,3.207944
0.010000,15.945143,9.233448,0.475670,2.689009,7.637699,-3.090897,3.212011
0.010000,15.917563,9.231444,0.503323,2.765334,7.632548,-0.515141,3.216201
0.010000,15.889224,9.229265,0.531746,2.842261,7.692716,6.016833,3.220514
0.010000,15.860133,9.226899,0.560933,2.918720,7.645914,-4.680227,3.224950
0.010000,15.830290,9.224337,0.590886,2.995271,7.655026,0.911223,3.229510
0.010000,15.799696,9.221568,0.621605,3.071892,7.662163,0.713677,3.234194
0.010000,15.768352,9.218582,0.653091,3.148566,7.667346,0.518364,3.239001
0.010000,15.736260,9.215366,0.685343,3.225272,7.670602,0.325551,3.243934
0.010000,15.703422,9.211909,0.718363,3.301991,7.671957,0.135501,3.248990
0.010000,15.669839,9.208201,0.752150,3.378706,7.671442,-0.051528,3.254171
0.010000,15.635514,9.204228,0.786704,3.455397,7.669089,-0.235287,3.259477
0.010000,15.600450,9.199978,0.822025,3.532046,7.664933,-0.415533,3.264907
0.010000,15.564650,9.195440,0.858111,3.608636,7.659013,-0.592029,3.270460
0.010000,15.528117,9.190601,0.894963,3.685224,7.658747,-0.026572,3.276138
0.010000,15.490851,9.185446,0.932584,3.762051,7.682766,2.401830,3.281939
0.010000,15.452861,9.179964,0.970968,3.838417,7.636615,-4.615036,3.287862
0.010000,15.414147,9.174141,1.010117,3.914952,7.653439,1.682339,3.293909
0.010000,15.374714,9.167964,1.050031,3.991403,7.645141,-0.829748,3.300076
0.010000,15.334567,9.161418,1.090709,4.067716,7.631264,-1.387687,3.306365
0.010000,15.293710,9.154489,1.132148,4.143937,7.622081,-0.918316,3.312774
0.010000,15.252149,9.147165,1.174350,4.220213,7.627611,0.552960,3.319301
0.010000,15.209890,9.139430,1.217311,4.296119,7.590597,-3.701340,3.325946
0.010000,15.166938,9.131270,1.261031,4.371986,7.586673,-0.392451,3.332707
0.010000,15.123298,9.122671,1.305510,4.447915,7.592983,0.630967,3.339583
0.010000,15.078978,9.113619,1.350745,4.523463,7.554777,-3.820598,3.346571
0.010000,15.033986,9.104098,1.396734,4.598862,7.539909,-1.486740,3.353672
0.010000,14.988328,9.094095,1.443474,4.674085,7.522230,-1.767915,3.360881
0.010000,14.942013,9.083594,1.490965,4.749103,7.501840,-2.039041,3.368197
0.010000,14.895047,9.072582,1.539204,4.823891,7.478843,-2.299632,3.375618
0.010000,14.847441,9.061044,1.588189,4.898425,7.453351,-2.549241,3.383141
0.010000,14.799204,9.048965,1.637915,4.972687,7.426183,-2.716822,3.390763
0.010000,14.750343,9.036330,1.688384,5.046845,7.415843,-1.033923,3.398482
0.010000,14.700869,9.023127,1.739589,5.120504,7.365905,-4.993861,3.406295
0.010000,14.650794,9.009341,1.791527,5.193815,7.331105,-3.480006,3.414197
0.010000,14.600126,8.994957,1.844197,5.267008,7.319248,-1.185678,3.422187
0.010000,14.548878,8.979963,1.897594,5.339643,7.263574,-5.567450,3.430259
0.010000,14.497060,8.964345,1.951714,5.412030,7.238670,-2.490388,3.438410
0.010000,14.444685,8.948090,2.006553,5.483922,7.189187,-4.948269,3.446637
0.010000,14.391764,8.931185,2.062109,5.555560,7.163813,-2.537373,3.454934
0.010000,14.338311,8.913618,2.118375,5.626608,7.104801,-5.901185,3.463298
0.010000,14.284337,8.895376,2.175348,5.697271,7.066321,-3.848062,3.471723
0.010000,14.229856,8.876448,2.233023,5.767564,7.029221,-3.709986,3.480206
0.010000,14.174881,8.856823,2.291396,5.837277,6.971294,-5.792651,3.488740
0.010000,14.119426,8.836490,2.350461,5.906512,6.923512,-4.778245,3.497321
0.010000,14.063505,8.815438,2.410214,5.975247,6.873506,-5.000626,3.505944
0.010000,14.007132,8.793658,2.470648,6.043462,6.821521,-5.198429,3.514603
0.010000,13.950320,8.771140,2.531760,6.111140,6.767802,-5.371949,3.523292
0.010000,13.893085,8.747876,2.593542,6.178266,6.712586,-5.521610,3.532007
0.010000,13.835440,8.723858,2.655990,6.244827,6.656106,-5.647963,3.540740
0.010000,13.777401,8.699078,2.719099,6.310832,6.600494,-5.561210,3.549486
0.010000,13.718980,8.673528,2.782862,6.376271,6.543918,-5.657601,3.558239
0.010000,13.660195,8.647203,2.847272,6.441078,6.480747,-6.317074,3.566993
0.010000,13.601058,8.620097,2.912325,6.505301,6.422231,-5.851668,3.575742
0.010000,13.541584,8.592205,2.978015,6.568952,6.365160,-5.707057,3.584479
0.010000,13.481788,8.563523,3.044334,6.631950,6.299765,-6.539537,3.593198
0.010000,13.421683,8.534046,3.111278,6.694384,6.243433,-5.633218,3.601893
0.010000,13.361284,8.503771,3.178840,6.756170,6.178558,-6.487463,3.610557
0.010000,13.300605,8.472696,3.247013,6.817361,6.119145,-5.941262,3.619183
0.010000,13.239658,8.440820,3.315793,6.877934,6.057229,-6.191634,3.627767
0.010000,13.178457,8.408141,3.385172,6.937897,5.996333,-6.089642,3.636300
0.010000,13.117016,8.374658,3.455144,6.997255,5.935848,-6.048411,3.644778
0.010000,13.055346,8.340373,3.525704,7.056000,5.874407,-6.144143,3.653192
0.010000,12.993459,8.305284,3.596846,7.114151,5.815114,-5.929262,3.661539
0.010000,12.931368,8.269395,3.668563,7.171710,5.755892,-5.922217,3.669810
0.010000,12.869084,8.232707,3.740850,7.228682,5.697277,-5.861473,3.678000
0.010000,12.806617,8.195222,3.813701,7.285077,5.639477,-5.780079,3.686103
0.010000,12.743977,8.156944,3.887110,7.340903,5.582629,-5.684790,3.694113
0.010000,12.681175,8.117877,3.961071,7.396172,5.526850,-5.577827,3.702025
0.010000,12.618220,8.078025,4.035580,7.450876,5.470432,-5.641844,3.709832
0.010000,12.555120,8.037393,4.110630,7.505039,5.416246,-5.418592,3.717528
0.010000,12.491884,7.995986,4.186217,7.558693,5.365398,-5.084795,3.725109
