dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,3.250919,3.199821,0.000065,0.012950,1.294964,129.496403,6.282228
0.010000,3.250907,3.199821,0.000076,0.001172,-1.177735,-247.269930,6.282240
0.010000,3.250881,3.199821,0.000103,0.002638,0.146527,132.426208,6.282268
0.010000,3.250834,3.199821,0.000150,0.004689,0.205112,5.858516,6.282317
0.010000,3.250761,3.199821,0.000223,0.007325,0.263658,5.854593,6.282393
0.010000,3.250658,3.199821,0.000326,0.010254,0.292846,2.918816,6.282500
0.010000,3.250526,3.199821,0.000457,0.013181,0.292682,-0.016418,6.282637
0.010000,3.250365,3.199821,0.000618,0.016105,0.292471,-0.021118,6.282805
0.010000,3.250175,3.199821,0.000809,0.019027,0.292212,-0.025826,6.283003
0.010000,3.250937,3.199821,0.001571,0.076206,5.717841,542.562902,0.000046
0.010000,3.256192,3.199822,0.006826,0.525523,44.931733,3921.389150,0.000305
0.010000,3.262066,3.199825,0.012699,0.587335,6.181200,-3875.053278,0.000595
0.010000,3.268557,3.199830,0.019191,0.649142,6.180734,-0.046579,0.000914
0.010000,3.275668,3.199838,0.026301,0.711042,6.189926,0.919178,0.001264
0.010000,3.283396,3.199849,0.034030,0.772862,6.182055,-0.787116,0.001644
0.010000,3.291743,3.199864,0.042377,0.834706,6.184416,0.236101,0.002054
0.010000,3.300709,3.199885,0.051343,0.896596,6.188949,0.453282,0.002495
0.010000,3.310293,3.199911,0.060927,0.958422,6.182634,-0.631533,0.002965
0.010000,3.320497,3.199944,0.071130,1.020340,6.191760,0.912667,0.003465
0.010000,3.331318,3.199984,0.081952,1.082185,6.184505,-0.725506,0.003995
0.010000,3.342759,3.200033,0.093393,1.144091,6.190593,0.608817,0.004555
0.010000,3.354819,3.200091,0.105453,1.205990,6.189960,-0.063355,0.005145
0.010000,3.367497,3.200161,0.118132,1.267857,6.186669,-0.329079,0.005764
0.010000,3.380795,3.200241,0.131430,1.329824,6.196699,1.002978,0.006413
0.010000,3.394712,3.200335,0.145347,1.391730,6.190552,-0.614646,0.007091
0.010000,3.409248,3.200444,0.159884,1.453642,6.191280,0.072738,0.007799
0.010000,3.424404,3.200567,0.175039,1.515583,6.194103,0.282344,0.008536
0.010000,3.440179,3.200708,0.190815,1.577574,6.199092,0.498900,0.009302
0.010000,3.456573,3.200867,0.207210,1.639529,6.195476,-0.361572,0.010096
0.010000,3.473587,3.201046,0.224225,1.701500,6.197120,0.164372,0.010920
0.010000,3.491221,3.201246,0.241860,1.763488,6.198717,0.159697,0.011773
0.010000,3.509475,3.201469,0.260115,1.825490,6.200271,0.155382,0.012654
0.010000,3.528348,3.201716,0.278990,1.887508,6.201785,0.151437,0.013563
0.010000,3.547842,3.201990,0.298486,1.949541,6.203264,0.147872,0.014501
0.010000,3.567955,3.202291,0.318602,2.011588,6.204711,0.144696,0.015467
0.010000,3.588689,3.202622,0.339338,2.073649,6.206130,0.141915,0.016461
0.010000,3.610043,3.202985,0.360695,2.135724,6.207525,0.139540,0.017483
0.010000,3.632018,3.203381,0.382673,2.197813,6.208901,0.137576,0.018532
0.010000,3.654613,3.203812,0.405273,2.259916,6.210262,0.136033,0.019609
