dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,3.250000,2.239821,0.000065,0.012950,1.294964,129.496403,6.282228
0.010000,3.250000,2.239821,0.000324,0.038849,2.589928,129.496403,6.282240
0.010000,3.250000,2.239821,0.000906,0.077698,3.884892,129.496403,6.282268
0.010000,3.250000,2.239821,0.001942,0.129496,5.179856,129.496403,6.282317
0.010000,3.250000,2.239821,0.003561,0.194245,6.474820,129.496403,6.282393
0.010000,3.250000,2.239821,0.005827,0.258993,6.474820,0.000000,6.282500
0.010000,3.250000,2.239821,0.008741,0.323741,6.474820,-0.000000,6.282637
0.010000,3.250000,2.239821,0.012302,0.388489,6.474820,0.000000,6.282805
0.010000,3.250000,2.239821,0.016511,0.453237,6.474820,0.000000,6.283003
0.010000,3.250982,2.239821,0.021367,0.517986,6.474820,-0.000000,0.000046
0.010000,3.256485,2.239822,0.026871,0.582734,6.474820,0.000000,0.000305
0.010000,3.262637,2.239825,0.033022,0.647482,6.474820,-0.000000,0.000595
0.010000,3.269435,2.239830,0.039820,0.712230,6.474820,0.000000,0.000914
0.010000,3.276881,2.239838,0.047266,0.776978,6.474820,0.000000,0.001264
0.010000,3.284975,2.239850,0.055360,0.841727,6.474820,0.000000,0.001644
0.010000,3.293715,2.239866,0.064101,0.906475,6.474820,0.000000,0.002054
0.010000,3.303104,2.239888,0.073489,0.971223,6.474820,-0.000000,0.002495
0.010000,3.313140,2.239915,0.083525,1.035971,6.474820,0.000000,0.002965
0.010000,3.323823,2.239949,0.094209,1.100719,6.474820,-0.000000,0.003465
0.010000,3.335154,2.239992,0.105540,1.165468,6.474820,0.000000,0.003995
0.010000,3.347132,2.240043,0.117518,1.230216,6.474820,-0.000000,0.004555
0.010000,3.359758,2.240104,0.130144,1.294964,6.474820,0.000000,0.005145
0.010000,3.373031,2.240176,0.143417,1.359712,6.474820,0.000000,0.005764
0.010000,3.386952,2.240261,0.157338,1.424460,6.474820,-0.000000,0.006413
0.010000,3.401520,2.240360,0.171906,1.489209,6.474820,0.000000,0.007091
0.010000,3.416735,2.240473,0.187122,1.553957,6.474820,-0.000000,0.007799
0.010000,3.432598,2.240602,0.202986,1.618705,6.474820,0.000000,0.008536
0.010000,3.449108,2.240750,0.219496,1.683453,6.474820,0.000000,0.009302
0.010000,3.466266,2.240916,0.236655,1.748201,6.474820,-0.000000,0.010096
0.010000,3.484071,2.241103,0.254460,1.812950,6.474820,0.000000,0.010920
0.010000,3.502523,2.241313,0.272914,1.877698,6.474820,-0.000000,0.011773
0.010000,3.521622,2.241546,0.292014,1.942446,6.474820,0.000000,0.012654
0.010000,3.541368,2.241805,0.311763,2.007194,6.474820,0.000000,0.013563
0.010000,3.561762,2.242091,0.332158,2.071942,6.474820,0.000000,0.014501
0.010000,3.582803,2.242406,0.353201,2.136691,6.474820,0.000000,0.015467
0.010000,3.604491,2.242752,0.374892,2.201439,6.474820,-0.000000,0.016461
0.010000,3.626826,2.243132,0.397230,2.266187,6.474820,0.000000,0.017483
0.010000,3.649808,2.243545,0.420216,2.330935,6.474820,-0.000000,0.018532
0.010000,3.673436,2.243996,0.443849,2.395683,6.474820,0.000000,0.019609
0.010000,3.697712,2.244486,0.468129,2.460432,6.474820,-0.000000,0.020713
0.010000,3.722634,2.245016,0.493058,2.525180,6.474820,0.000000,0.021844
0.010000,3.748204,2.245589,0.518633,2.589928,6.474820,0.000000,0.023003
0.010000,3.774419,2.246208,0.544856,2.654676,6.474820,0.000000,0.024188
0.010000,3.801281,2.246874,0.571727,2.719424,6.474820,0.000000,0.025399
0.010000,3.828790,2.247590,0.599245,2.784173,6.474820,-0.000000,0.026637
0.010000,3.856945,2.248358,0.627410,2.848921,6.474820,0.000000,0.027901
0.010000,3.885746,2.249181,0.656223,2.913669,6.474820,0.000000,0.029191
0.010000,3.915194,2.250060,0.685683,2.978417,6.474820,0.000000,0.030506
0.010000,3.945287,2.250998,0.715791,3.043165,6.474820,-0.000000,0.031847
0.010000,3.976026,2.251999,0.746547,3.107914,6.474820,-0.000000,0.033213
0.010000,4.007411,2.253063,0.777950,3.172662,6.474820,0.000000,0.034604
0.010000,4.039441,2.254195,0.810000,3.237410,6.474820,0.000000,0.036020
0.010000,4.072117,2.255396,0.842698,3.302158,6.474820,0.000000,0.037460
0.010000,4.105438,2.256669,0.876043,3.366906,6.474820,0.000000,0.038924
0.010000,4.139404,2.258017,0.910036,3.431655,6.474820,-0.000000,0.040412
0.010000,4.174015,2.259443,0.944676,3.496403,6.474820,0.000000,0.041923
0.010000,4.209270,2.260949,0.979964,3.561151,6.474820,0.000000,0.043458
0.010000,4.245170,2.262538,1.015899,3.625899,6.474820,-0.000000,0.045016
0.010000,4.281715,2.264213,1.052482,3.690647,6.474820,0.000000,0.046596
0.010000,4.318903,2.265977,1.089712,3.755396,6.474820,-0.000000,0.048199
0.010000,4.356736,2.267833,1.127590,3.820144,6.474820,0.000000,0.049823
0.010000,4.395211,2.269783,1.166115,3.884892,6.474820,-0.000000,0.051470
0.010000,4.434330,2.271831,1.205288,3.949640,6.474820,0.000000,0.053138
0.010000,4.474093,2.273980,1.245108,4.014388,6.474820,-0.000000,0.054827
0.010000,4.514497,2.276232,1.285576,4.079137,6.474820,0.000000,0.056536
0.010000,4.555545,2.278591,1.326691,4.143885,6.474820,-0.000000,0.058266
0.010000,4.597234,2.281059,1.368453,4.208633,6.474820,0.000000,0.060016
0.010000,4.639566,2.283640,1.410863,4.273381,6.474820,-0.000000,0.061785
0.010000,4.682539,2.286337,1.453921,4.338129,6.474820,0.000000,0.063574
0.010000,4.726153,2.289153,1.497626,4.402878,6.474820,0.000000,0.065382
0.010000,4.770408,2.292092,1.541978,4.467626,6.474820,0.000000,0.067207
0.010000,4.815304,2.295155,1.586978,4.532374,6.474820,0.000000,0.069051
0.010000,4.860839,2.298347,1.632626,4.597122,6.474820,0.000000,0.070913
0.010000,4.907015,2.301671,1.678921,4.661871,6.474820,-0.000000,0.072791
0.010000,4.953830,2.305129,1.725863,4.726619,6.474820,0.000000,0.074687
0.010000,5.001284,2.308725,1.773453,4.791367,6.474820,-0.000000,0.076599
0.010000,5.049376,2.312463,1.821691,4.856115,6.474820,0.000000,0.078526
0.010000,5.098106,2.316345,1.870576,4.920863,6.474820,0.000000,0.080469
0.010000,5.147475,2.320375,1.920108,4.985612,6.474820,0.000000,0.082427
0.010000,5.197480,2.324556,1.970288,5.050360,6.474820,-0.000000,0.084400
0.010000,5.248122,2.328891,2.021115,5.115108,6.474820,0.000000,0.086387
0.010000,5.299400,2.333384,2.072590,5.179856,6.474820,-0.000000,0.088387
0.010000,5.351315,2.338037,2.124712,5.244604,6.474820,0.000000,0.090400
0.010000,5.403864,2.342854,2.177482,5.309353,6.474820,-0.000000,0.092426
