dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,3.249081,1.279822,0.000065,0.012950,1.294964,129.496403,6.282228
0.010000,3.249093,1.279822,0.000076,0.001172,-1.177735,-247.269930,6.282240
0.010000,3.249119,1.279822,0.000103,0.002638,0.146527,132.426208,6.282268
0.010000,3.249166,1.279822,0.000150,0.004689,0.205112,5.858516,6.282317
0.010000,3.249239,1.279822,0.000223,0.007325,0.263658,5.854593,6.282393
0.010000,3.249342,1.279822,0.000326,0.010254,0.292846,2.918816,6.282500
0.010000,3.249474,1.279821,0.000457,0.013181,0.292682,-0.016418,6.282637
0.010000,3.249635,1.279821,0.000618,0.016105,0.292471,-0.021118,6.282805
0.010000,3.249825,1.279821,0.000809,0.019027,0.292212,-0.025826,6.283003
0.010000,3.251026,1.279821,0.002010,0.120099,10.107198,981.498569,0.000046
0.010000,3.256778,1.279822,0.007762,0.575251,45.515162,3540.796409,0.000305
0.010000,3.263207,1.279825,0.014191,0.642887,6.763554,-3875.160803,0.000595
0.010000,3.270312,1.279831,0.021296,0.710508,6.762193,-0.136110,0.000914
0.010000,3.278095,1.279839,0.029078,0.778222,6.771311,0.911749,0.001264
0.010000,3.286553,1.279851,0.037537,0.845838,6.761661,-0.965004,0.001644
0.010000,3.295688,1.279868,0.046671,0.913469,6.763117,0.145679,0.002054
0.010000,3.305499,1.279891,0.056483,0.981138,6.766857,0.373973,0.002495
0.010000,3.315986,1.279919,0.066970,1.048724,6.758632,-0.822510,0.002965
0.010000,3.327150,1.279955,0.078134,1.116396,6.767210,0.857761,0.003465
0.010000,3.338990,1.279999,0.089974,1.183974,6.757767,-0.944233,0.003995
0.010000,3.351506,1.280053,0.102490,1.251602,6.762828,0.506082,0.004555
0.010000,3.364698,1.280117,0.115682,1.319207,6.760438,-0.239048,0.005145
0.010000,3.378565,1.280192,0.129549,1.386757,6.755043,-0.539410,0.005764
0.010000,3.393109,1.280281,0.144093,1.454398,6.764120,0.907657,0.006413
0.010000,3.408328,1.280384,0.159313,1.521952,6.755404,-0.871603,0.007091
0.010000,3.424222,1.280502,0.175208,1.589493,6.754106,-0.129781,0.007799
0.010000,3.440792,1.280637,0.191778,1.657043,6.754998,0.089217,0.008536
0.010000,3.458038,1.280791,0.209025,1.724625,6.758154,0.315575,0.009302
0.010000,3.475958,1.280965,0.226946,1.792143,6.751799,-0.635539,0.010096
0.010000,3.494554,1.281160,0.245542,1.859654,6.751089,-0.071008,0.010920
0.010000,3.513824,1.281379,0.264814,1.927156,6.750221,-0.086769,0.011773
0.010000,3.533769,1.281623,0.284761,1.994648,6.749198,-0.102252,0.012654
0.010000,3.554389,1.281893,0.305382,2.062128,6.748024,-0.117450,0.013563
0.010000,3.575682,1.282192,0.326678,2.129595,6.746700,-0.132355,0.014501
0.010000,3.597651,1.282521,0.348648,2.197048,6.745231,-0.146959,0.015467
0.010000,3.620292,1.282883,0.371293,2.264484,6.743618,-0.161254,0.016461
0.010000,3.643608,1.283278,0.394612,2.331902,6.741866,-0.175234,0.017483
0.010000,3.667597,1.283710,0.418605,2.399302,6.739977,-0.188892,0.018532
0.010000,3.692260,1.284181,0.443272,2.466682,6.737955,-0.202222,0.019609
0.010000,3.717595,1.284692,0.468612,2.534040,6.735803,-0.215217,0.020713
0.010000,3.743603,1.285245,0.494627,2.601438,6.739818,0.401555,0.021844
0.010000,3.770284,1.285843,0.521314,2.668757,6.731898,-0.792000,0.023003
0.010000,3.797637,1.286489,0.548675,2.736050,6.729352,-0.254660,0.024188
0.010000,3.825662,1.287184,0.576708,2.803344,6.729365,0.001347,0.025399
0.010000,3.854359,1.287931,0.605415,2.870651,6.730663,0.129751,0.026637
0.010000,3.883726,1.288732,0.634793,2.937868,6.721718,-0.894432,0.027901
0.010000,3.913765,1.289590,0.664845,3.005123,6.725482,0.376401,0.029191
0.010000,3.944475,1.290506,0.695568,3.072326,6.720352,-0.513004,0.030506
0.010000,3.975855,1.291485,0.726963,3.139506,6.717969,-0.238289,0.031847
0.010000,4.007905,1.292528,0.759030,3.206681,6.717555,-0.041455,0.033213
0.010000,4.040624,1.293638,0.791768,3.273814,6.713237,-0.431737,0.034604
0.010000,4.074012,1.294817,0.825177,3.340923,6.710954,-0.228358,0.036020
0.010000,4.108070,1.296069,0.859257,3.408034,6.711061,0.010749,0.037460
0.010000,4.142795,1.297396,0.894008,3.475066,6.703157,-0.790415,0.038924
0.010000,4.178188,1.298801,0.929429,3.542131,6.706596,0.343918,0.040412
0.010000,4.214249,1.300286,0.965521,3.609140,6.700860,-0.573646,0.041923
0.010000,4.250977,1.301855,1.002282,3.676105,6.696504,-0.435617,0.043458
0.010000,4.288371,1.303510,1.039712,3.743048,6.694278,-0.222606,0.045016
0.010000,4.326431,1.305255,1.077812,3.810008,6.696019,0.174189,0.046596
0.010000,4.365156,1.307092,1.116581,3.876893,6.688474,-0.754587,0.048199
0.010000,4.404546,1.309024,1.156019,3.943750,6.685761,-0.271231,0.049823
0.010000,4.444601,1.311054,1.196125,4.010579,6.682904,-0.285699,0.051470
0.010000,4.485319,1.313186,1.236898,4.077378,6.679893,-0.301089,0.053138
0.010000,4.526700,1.315422,1.278340,4.144146,6.676735,-0.315888,0.054827
0.010000,4.568743,1.317766,1.320449,4.210880,6.673434,-0.330098,0.056536
0.010000,4.611449,1.320220,1.363225,4.277580,6.669996,-0.343726,0.058266
0.010000,4.654815,1.322787,1.406667,4.344244,6.666429,-0.356775,0.060016
0.010000,4.698842,1.325472,1.450776,4.410872,6.662736,-0.369251,0.061785
0.010000,4.743529,1.328277,1.495550,4.477461,6.658924,-0.381160,0.063574
0.010000,4.788875,1.331205,1.540990,4.544011,6.654999,-0.392510,0.065382
0.010000,4.834878,1.334259,1.587096,4.610521,6.651035,-0.396440,0.067207
0.010000,4.881540,1.337443,1.633866,4.677026,6.650471,-0.056372,0.069051
0.010000,4.928859,1.340760,1.681300,4.743456,6.642950,-0.752090,0.070913
0.010000,4.976833,1.344213,1.729399,4.809841,6.638593,-0.435704,0.072791
0.010000,5.025462,1.347805,1.778161,4.876199,6.635762,-0.283136,0.074687
0.010000,5.074746,1.351540,1.827586,4.942531,6.633235,-0.252710,0.076599
0.010000,5.124684,1.355421,1.877674,5.008784,6.625246,-0.798910,0.078526
0.010000,5.175274,1.359452,1.928424,5.075027,6.624356,-0.088931,0.080469
0.010000,5.226515,1.363635,1.979836,5.141208,6.618025,-0.633115,0.082427
0.010000,5.278408,1.367973,2.031910,5.207347,6.613890,-0.413560,0.084400
0.010000,5.330950,1.372471,2.084644,5.273445,6.609888,-0.400191,0.086387
0.010000,5.384141,1.377131,2.138039,5.339493,6.604775,-0.511291,0.088387
0.010000,5.437980,1.381957,2.192094,5.405489,6.599604,-0.517094,0.090400
