dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,23.101371,4.540001,0.000065,0.012946,1.294577,129.457684,3.143020
0.010000,23.101310,4.540001,0.000125,0.006061,-0.688431,-198.300747,3.142957
0.010000,23.101173,4.540001,0.000262,0.013642,0.758043,144.647368,3.142815
0.010000,23.100931,4.540000,0.000504,0.024265,1.062268,30.422529,3.142562
0.010000,23.100551,4.540000,0.000884,0.037945,1.368042,30.577394,3.142167
0.010000,23.100020,4.540000,0.001416,0.053188,1.524281,15.623854,3.141613
0.010000,23.096502,4.540001,0.004933,0.351731,29.854292,2833.001136,3.140899
0.010000,23.092103,4.540006,0.009332,0.439901,8.817071,-2103.722109,3.140023
0.010000,23.086898,4.540017,0.014538,0.520547,8.064515,-75.255582,3.138984
0.010000,23.080886,4.540036,0.020549,0.601155,8.060867,-0.364777,3.137780
0.010000,23.074067,4.540067,0.027369,0.681960,8.080431,1.956372,3.136407
0.010000,23.066436,4.540112,0.034999,0.763076,8.111647,3.121543,3.134864
0.010000,23.057992,4.540177,0.043444,0.844473,8.139745,2.809840,3.133147
0.010000,23.048730,4.540264,0.052706,0.926223,8.174984,3.523852,3.131252
0.010000,23.038644,4.540378,0.062793,1.008688,8.246473,7.148988,3.129174
0.010000,23.027735,4.540526,0.073703,1.090948,8.225975,-2.049826,3.126911
0.010000,23.015992,4.540713,0.085447,1.174421,8.347346,12.137118,3.124456
0.010000,23.003416,4.540945,0.098025,1.257850,8.342853,-0.449384,3.121804
0.010000,22.989999,4.541230,0.111446,1.342013,8.416281,7.342808,3.118950
0.010000,22.975734,4.541575,0.125714,1.426887,8.487390,7.110917,3.115886
0.010000,22.960615,4.541988,0.140839,1.512449,8.556228,6.883835,3.112605
0.010000,22.944636,4.542480,0.156826,1.598677,8.622866,6.663833,3.109100
0.010000,22.927791,4.543059,0.173681,1.685551,8.687400,6.453381,3.105363
0.010000,22.910065,4.543736,0.191420,1.773855,8.830324,14.292386,3.101384
0.010000,22.891457,4.544524,0.210044,1.862439,8.858455,2.813094,3.097153
0.010000,22.871953,4.545435,0.229569,1.952531,9.009153,15.069755,3.092659
0.010000,22.851544,4.546483,0.250006,2.043623,9.109232,10.007941,3.087891
0.010000,22.830219,4.547684,0.271364,2.135818,9.219508,11.027626,3.082837
0.010000,22.807968,4.549052,0.293658,2.229361,9.354269,13.476118,3.077481
0.010000,22.784774,4.550607,0.316904,2.324629,9.526786,17.251692,3.071810
0.010000,22.760629,4.552367,0.341113,2.420908,9.627895,10.110816,3.065807
0.010000,22.735513,4.554354,0.366307,2.519393,9.848546,22.065155,3.059455
0.010000,22.709416,4.556591,0.392500,2.619308,9.991485,14.293863,3.052735
0.010000,22.682318,4.559102,0.419713,2.721347,10.203911,21.242661,3.045627
0.010000,22.654203,4.561915,0.447969,2.825543,10.419622,21.571113,3.038108
0.010000,22.625053,4.565059,0.477288,2.931934,10.639104,21.948108,3.030154
0.010000,22.594846,4.568568,0.507698,3.041020,10.908558,26.945441,3.021739
0.010000,22.563563,4.572476,0.539224,3.152595,11.157504,24.894597,3.012834
0.010000,22.531179,4.576823,0.571899,3.267490,11.489469,33.196490,3.003409
0.010000,22.497672,4.581653,0.605752,3.385268,11.777804,28.833513,2.993430
0.010000,22.463018,4.587012,0.640819,3.506680,12.141191,36.338666,2.982861
0.010000,22.427187,4.592953,0.677138,3.631950,12.527065,38.587438,2.971662
0.010000,22.390156,4.599533,0.714749,3.761072,12.912188,38.512260,2.959791
0.010000,22.351896,4.606814,0.753697,3.894766,13.369337,45.714969,2.947201
0.010000,22.312374,4.614869,0.794030,4.033366,13.860015,49.067798,2.933843
0.010000,22.271564,4.623773,0.835800,4.177002,14.363649,50.363411,2.919663
0.010000,22.229435,4.633611,0.879063,4.326282,14.927946,56.429665,2.904601
0.010000,22.185958,4.644480,0.923878,4.481523,15.524172,59.622563,2.888597
0.010000,22.141103,4.656483,0.970312,4.643337,16.181382,65.721004,2.871581
0.010000,22.094845,4.669735,1.018430,4.811813,16.847601,66.621916,2.853485
0.010000,22.047162,4.684365,1.068307,4.987704,17.589118,74.151696,2.834230
0.010000,21.998037,4.700512,1.120017,5.171068,18.336321,74.720347,2.813740
0.010000,21.947461,4.718329,1.173641,5.362309,19.124155,78.783408,2.791931
0.010000,21.895431,4.737986,1.229259,5.561859,19.955021,83.086543,2.768718
0.010000,21.841965,4.759662,1.286952,5.769328,20.746876,79.185486,2.744018
0.010000,21.787093,4.783554,1.346800,5.984795,21.546679,79.980331,2.717747
0.010000,21.730867,4.809870,1.408880,6.207964,22.316936,77.025685,2.689826
0.010000,21.673369,4.838826,1.473257,6.437746,22.978138,66.120235,2.660185
0.010000,21.614714,4.870646,1.539988,6.673020,23.527398,54.925971,2.628766
0.010000,21.555052,4.905554,1.609112,6.912445,23.942558,41.515972,2.595529
0.010000,21.494582,4.943765,1.680642,7.153027,24.058137,11.557948,2.560458
0.010000,21.433550,4.985477,1.754567,7.392495,23.946831,-11.130629,2.523567
0.010000,21.372255,5.030858,1.830833,7.626576,23.408104,-53.872648,2.484911
0.010000,21.311047,5.080031,1.909347,7.851377,22.480066,-92.803839,2.444587
0.010000,21.250322,5.133066,1.989971,8.062389,21.101240,-137.882641,2.402739
0.010000,21.190516,5.189956,2.072513,8.254224,19.183552,-191.768795,2.359566
0.010000,21.132088,5.250617,2.156737,8.422404,16.817935,-236.561692,2.315315
0.010000,21.075501,5.314876,2.242360,8.562270,13.986634,-283.130061,2.270281
0.010000,21.021202,5.382473,2.329064,8.670472,10.820143,-316.649059,2.224794
0.010000,20.969601,5.453071,2.416510,8.744598,7.412669,-340.747493,2.179209
0.010000,20.921045,5.526270,2.504349,8.783887,3.928906,-348.376212,2.133889
0.010000,20.875806,5.601623,2.592239,8.788994,0.510632,-341.827485,2.089190
0.010000,20.834072,5.678667,2.679861,8.762159,-2.683489,-319.412068,2.045446
0.010000,20.795991,5.756831,2.766809,8.694768,-6.739105,-405.561558,2.003011
0.010000,20.761652,5.835466,2.852613,8.580479,-11.428903,-468.979787,1.962238
0.010000,20.731029,5.913971,2.936880,8.426666,-15.381237,-395.233472,1.923406
0.010000,20.704011,5.991794,3.019259,8.237936,-18.872982,-349.174439,1.886727
0.010000,20.680441,6.068356,3.099368,8.010838,-22.709890,-383.690870,1.852381
0.010000,20.660090,6.143194,3.176923,7.755566,-25.527153,-281.726299,1.820460
0.010000,20.642668,6.216025,3.251809,7.488608,-26.695774,-116.862078,1.790950
0.010000,20.627879,6.286632,3.323948,7.213879,-27.472920,-77.714605,1.763799
0.010000,20.615429,6.354871,3.393314,6.936566,-27.731327,-25.840663,1.738913
0.010000,20.605027,6.420734,3.459993,6.667894,-26.867215,86.411226,1.716152
0.010000,20.596402,6.484302,3.524144,6.415072,-25.282184,158.503049,1.695351
0.010000,20.589315,6.545667,3.585916,6.177281,-23.779049,150.313462,1.676352
0.010000,20.583561,6.604923,3.645451,5.953447,-22.383418,139.563174,1.659011
0.010000,20.578959,6.662164,3.702877,5.742569,-21.087838,129.558012,1.643193
0.010000,20.575351,6.717482,3.758312,5.543537,-19.903153,118.468431,1.628774
0.010000,20.572603,6.770965,3.811866,5.355397,-18.814054,108.909919,1.615640
0.010000,20.570594,6.822697,3.863637,5.177134,-17.826240,98.781380,1.603690
0.010000,20.569222,6.872757,3.913716,5.007889,-16.924552,90.168850,1.592828
0.010000,20.568396,6.921218,3.962184,4.846756,-16.113306,81.124547,1.582970
0.010000,20.568036,6.968147,4.009114,4.693083,-15.367318,74.598848,1.574039
0.010000,20.568075,7.013609,4.054576,4.546147,-14.693600,67.371767,1.565964
0.010000,20.568450,7.057660,4.098629,4.405283,-14.086338,60.726245,1.558682
0.010000,20.569109,7.100355,4.141329,4.270050,-13.523338,56.300004,1.552135
0.010000,20.570004,7.141744,4.182728,4.139846,-13.020343,50.299497,1.546270
0.010000,20.571095,7.181872,4.222871,4.014280,-12.556658,46.368524,1.541038
0.010000,20.572345,7.220782,4.261800,3.892948,-12.133144,42.351387,1.536396
0.010000,20.573722,7.258512,4.299555,3.775528,-11.742042,39.110174,1.532303
0.010000,20.575198,7.295098,4.336172,3.661640,-11.388813,35.322920,1.528722
0.010000,20.576748,7.330575,4.371682,3.551068,-11.057220,33.159263,1.525619
0.010000,20.578350,7.364973,4.406118,3.443532,-10.753593,30.362696,1.522961
0.010000,20.579985,7.398321,4.439506,3.338815,-10.471656,28.193708,1.520720
0.010000,20.581635,7.430646,4.471873,3.236709,-10.210563,26.109296,1.518869
0.010000,20.583288,7.461974,4.503244,3.137066,-9.964350,24.621326,1.517381
0.010000,20.584929,7.492326,4.533641,3.039707,-9.735934,22.841574,1.516233
0.010000,20.586548,7.521727,4.563086,2.944497,-9.520937,21.499686,1.515402
0.010000,20.588135,7.550196,4.591599,2.851318,-9.317949,20.298802,1.514868
0.010000,20.589682,7.577753,4.619199,2.760057,-9.126062,19.188708,1.514610
0.010000,20.591182,7.604417,4.645906,2.670615,-8.944197,18.186467,1.514610
0.010000,20.592630,7.630205,4.671735,2.582908,-8.770691,17.350638,1.514849
0.010000,20.594021,7.655135,4.696703,2.496858,-8.605060,16.563121,1.515310
0.010000,20.595351,7.679222,4.720827,2.412396,-8.446215,15.884480,1.515977
0.010000,20.596618,7.702482,4.744122,2.329458,-8.293756,15.245922,1.516833
0.010000,20.597819,7.724930,4.766602,2.247998,-8.145980,14.777599,1.517864
0.010000,20.598954,7.746580,4.788281,2.167953,-8.004540,14.143943,1.519054
0.010000,20.600021,7.767446,4.809174,2.089300,-7.865244,13.929608,1.520389
0.010000,20.601020,7.787541,4.829294,2.011979,-7.732143,13.310110,1.521855
0.010000,20.601952,7.806878,4.848654,1.935965,-7.601366,13.077726,1.523439
0.010000,20.602818,7.825470,4.867266,1.861229,-7.473577,12.778927,1.525127
0.010000,20.603618,7.843329,4.885143,1.787716,-7.351361,12.221572,1.526907
0.010000,20.604355,7.860468,4.902298,1.715445,-7.227125,12.423599,1.528765
0.010000,20.605030,7.876898,4.918741,1.644340,-7.110457,11.666783,1.530690
0.010000,20.605646,7.892630,4.934485,1.574399,-6.994068,11.638875,1.532669
0.010000,20.606205,7.907675,4.949541,1.505591,-6.880808,11.326048,1.534690
0.010000,20.606710,7.922045,4.963920,1.437915,-6.767593,11.321535,1.536742
0.010000,20.607162,7.935751,4.977633,1.371295,-6.662058,10.553453,1.538814
0.010000,20.607566,7.948802,4.990691,1.305769,-6.552598,10.946029,1.540894
0.010000,20.607925,7.961210,5.003103,1.241256,-6.451284,10.131349,1.542972
0.010000,20.608240,7.972983,5.014881,1.177755,-6.350141,10.114280,1.545037
0.010000,20.608516,7.984132,5.026033,1.115238,-6.251678,9.846358,1.547079
