dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,23.100000,5.500000,0.000065,0.012946,1.294577,129.457684,3.143020
0.010000,23.100000,5.500000,0.000324,0.038837,2.589154,129.457684,3.142957
0.010000,23.100000,5.500000,0.000906,0.077675,3.883731,129.457684,3.142815
0.010000,23.100000,5.500000,0.001942,0.129458,5.178307,129.457684,3.142562
0.010000,23.100000,5.500000,0.003560,0.194187,6.472884,129.457684,3.142167
0.010000,23.100000,5.500000,0.005826,0.258915,6.472884,0.000000,3.141613
0.010000,23.097168,5.500001,0.008738,0.323644,6.472884,-0.000000,3.140899
0.010000,23.093610,5.500005,0.012298,0.388373,6.472884,0.000000,3.140023
0.010000,23.089402,5.500014,0.016506,0.453102,6.472884,0.000000,3.138984
0.010000,23.084546,5.500029,0.021361,0.517831,6.472884,0.000000,3.137780
0.010000,23.079045,5.500054,0.026862,0.582560,6.472884,0.000000,3.136407
0.010000,23.072895,5.500091,0.033012,0.647288,6.472884,-0.000000,3.134864
0.010000,23.066100,5.500142,0.039808,0.712017,6.472884,0.000000,3.133147
0.010000,23.058657,5.500212,0.047252,0.776746,6.472884,0.000000,3.131252
0.010000,23.050565,5.500304,0.055343,0.841475,6.472884,0.000000,3.129174
0.010000,23.041829,5.500423,0.064082,0.906204,6.472884,0.000000,3.126911
0.010000,23.032443,5.500572,0.073467,0.970933,6.472884,0.000000,3.124456
0.010000,23.022412,5.500757,0.083500,1.035661,6.472884,-0.000000,3.121804
0.010000,23.011734,5.500984,0.094180,1.100390,6.472884,0.000000,3.118950
0.010000,23.000410,5.501257,0.105508,1.165119,6.472884,0.000000,3.115886
0.010000,22.988439,5.501585,0.117483,1.229848,6.472884,-0.000000,3.112605
0.010000,22.975823,5.501973,0.130105,1.294577,6.472884,-0.000000,3.109100
0.010000,22.962563,5.502429,0.143374,1.359306,6.472884,0.000000,3.105363
0.010000,22.948655,5.502960,0.157291,1.424035,6.472884,0.000000,3.101384
0.010000,22.934105,5.503576,0.171855,1.488763,6.472884,0.000000,3.097153
0.010000,22.918910,5.504286,0.187066,1.553492,6.472884,-0.000000,3.092659
0.010000,22.903072,5.505100,0.202925,1.618221,6.472884,0.000000,3.087891
0.010000,22.886593,5.506027,0.219431,1.682950,6.472884,0.000000,3.082837
0.010000,22.869473,5.507080,0.236584,1.747679,6.472884,0.000000,3.077481
0.010000,22.851711,5.508271,0.254384,1.812408,6.472884,-0.000000,3.071810
0.010000,22.833313,5.509612,0.272832,1.877136,6.472884,0.000000,3.065807
0.010000,22.814276,5.511118,0.291927,1.941865,6.472884,0.000000,3.059455
0.010000,22.794606,5.512804,0.311669,2.006594,6.472884,-0.000000,3.052735
0.010000,22.774304,5.514685,0.332059,2.071323,6.472884,-0.000000,3.045627
0.010000,22.753371,5.516779,0.353096,2.136052,6.472884,0.000000,3.038108
0.010000,22.731813,5.519104,0.374780,2.200781,6.472884,-0.000000,3.030154
0.010000,22.709631,5.521681,0.397111,2.265509,6.472884,0.000000,3.021739
0.010000,22.686830,5.524529,0.420090,2.330238,6.472884,0.000000,3.012834
0.010000,22.663414,5.527673,0.443716,2.394967,6.472884,-0.000000,3.003409
0.010000,22.639389,5.531135,0.467990,2.459696,6.472884,0.000000,2.993430
0.010000,22.614761,5.534944,0.492910,2.524425,6.472884,-0.000000,2.982861
0.010000,22.589537,5.539126,0.518478,2.589154,6.472884,0.000000,2.971662
0.010000,22.563726,5.543711,0.544693,2.653883,6.472884,0.000000,2.959791
0.010000,22.537338,5.548733,0.571556,2.718611,6.472884,-0.000000,2.947201
0.010000,22.510382,5.554226,0.599065,2.783340,6.472884,0.000000,2.933843
0.010000,22.482872,5.560228,0.627222,2.848069,6.472884,0.000000,2.919663
0.010000,22.454823,5.566778,0.656027,2.912798,6.472884,0.000000,2.904601
0.010000,22.426251,5.573920,0.685478,2.977527,6.472884,0.000000,2.888597
0.010000,22.397175,5.581700,0.715577,3.042256,6.472884,-0.000000,2.871581
0.010000,22.367619,5.590167,0.746324,3.106984,6.472884,0.000000,2.853485
0.010000,22.337606,5.599374,0.777717,3.171713,6.472884,0.000000,2.834230
0.010000,22.307168,5.609378,0.809758,3.236442,6.472884,-0.000000,2.813740
0.010000,22.276337,5.620238,0.842446,3.301171,6.472884,0.000000,2.791931
0.010000,22.245153,5.632018,0.875781,3.365900,6.472884,-0.000000,2.768718
0.010000,22.213661,5.644785,0.909764,3.430629,6.472884,0.000000,2.744018
0.010000,22.181911,5.658608,0.944394,3.495357,6.472884,0.000000,2.717747
0.010000,22.149960,5.673560,0.979671,3.560086,6.472884,-0.000000,2.689826
0.010000,22.117875,5.689716,1.015596,3.624815,6.472884,-0.000000,2.660185
0.010000,22.085730,5.707153,1.052167,3.689544,6.472884,0.000000,2.628766
0.010000,22.053606,5.725946,1.089386,3.754273,6.472884,-0.000000,2.595529
0.010000,22.021596,5.746171,1.127253,3.819002,6.472884,-0.000000,2.560458
0.010000,21.989800,5.767900,1.165766,3.883731,6.472884,0.000000,2.523567
0.010000,21.958327,5.791199,1.204927,3.948459,6.472884,-0.000000,2.484911
0.010000,21.927295,5.816128,1.244736,4.013188,6.472884,0.000000,2.444587
0.010000,21.896825,5.842737,1.285191,4.077917,6.472884,-0.000000,2.402739
0.010000,21.867046,5.871063,1.326294,4.142646,6.472884,0.000000,2.359566
0.010000,21.838085,5.901131,1.368044,4.207375,6.472884,-0.000000,2.315315
0.010000,21.810068,5.932946,1.410441,4.272104,6.472884,0.000000,2.270281
0.010000,21.783114,5.966503,1.453486,4.336832,6.472884,-0.000000,2.224794
0.010000,21.757335,6.001775,1.497178,4.401561,6.472884,0.000000,2.179209
0.010000,21.732829,6.038721,1.541517,4.466290,6.472884,0.000000,2.133889
0.010000,21.709678,6.077289,1.586504,4.531019,6.472884,-0.000000,2.089190
0.010000,21.687947,6.117412,1.632138,4.595748,6.472884,0.000000,2.045446
0.010000,21.667710,6.158959,1.678354,4.647531,5.178307,-129.457684,2.003011
0.010000,21.649038,6.201726,1.725024,4.686368,3.883731,-129.457684,1.962238
0.010000,21.631965,6.245505,1.772017,4.712260,2.589154,-129.457684,1.923406
0.010000,21.616498,6.290066,1.819188,4.722072,0.981249,-160.790504,1.886727
0.010000,21.602633,6.335119,1.866329,4.705993,-1.607905,-258.915368,1.852381
0.010000,21.590326,6.380389,1.913244,4.676968,-2.902482,-129.457684,1.820460
0.010000,21.579497,6.425670,1.959803,4.634998,-4.197059,-129.457684,1.790950
0.010000,21.570054,6.470766,2.005879,4.580081,-5.491636,-129.457684,1.763799
0.010000,21.561895,6.515504,2.051356,4.515353,-6.472884,-98.124863,1.738913
0.010000,21.554903,6.559785,2.096186,4.450624,-6.472884,0.000000,1.716152
0.010000,21.548965,6.603565,2.140368,4.385895,-6.472884,-0.000000,1.695351
0.010000,21.543972,6.646813,2.183904,4.321166,-6.472884,0.000000,1.676352
0.010000,21.539828,6.689499,2.226792,4.256437,-6.472884,-0.000000,1.659011
0.010000,21.536444,6.731604,2.269032,4.191708,-6.472884,0.000000,1.643193
0.010000,21.533738,6.773109,2.310626,4.126979,-6.472884,-0.000000,1.628774
0.010000,21.531638,6.814001,2.351572,4.062251,-6.472884,0.000000,1.615640
0.010000,21.530075,6.854269,2.391871,3.997522,-6.472884,-0.000000,1.603690
0.010000,21.528989,6.893906,2.431523,3.932793,-6.472884,0.000000,1.592828
0.010000,21.528325,6.932904,2.470527,3.868064,-6.472884,0.000000,1.582970
0.010000,21.528031,6.971260,2.508884,3.803335,-6.472884,0.000000,1.574039
0.010000,21.528063,7.008970,2.546594,3.738606,-6.472884,-0.000000,1.565964
0.010000,21.528379,7.046031,2.583656,3.673878,-6.472884,0.000000,1.558682
0.010000,21.528942,7.082441,2.620071,3.609149,-6.472884,-0.000000,1.552135
0.010000,21.529716,7.118201,2.655839,3.544420,-6.472884,0.000000,1.546270
0.010000,21.530670,7.153308,2.690959,3.479691,-6.472884,0.000000,1.541038
0.010000,21.531777,7.187764,2.725433,3.414962,-6.472884,-0.000000,1.536396
0.010000,21.533011,7.221567,2.759259,3.350233,-6.472884,0.000000,1.532303
0.010000,21.534348,7.254719,2.792437,3.285505,-6.472884,-0.000000,1.528722
0.010000,21.535768,7.287219,2.824969,3.220776,-6.472884,0.000000,1.525619
0.010000,21.537252,7.319069,2.856853,3.156047,-6.472884,0.000000,1.522961
0.010000,21.538781,7.350268,2.888090,3.091318,-6.472884,-0.000000,1.520720
0.010000,21.540341,7.380818,2.918679,3.026589,-6.472884,0.000000,1.518869
0.010000,21.541919,7.410719,2.948622,2.961860,-6.472884,0.000000,1.517381
0.010000,21.543500,7.439971,2.977916,2.897131,-6.472884,-0.000000,1.516233
0.010000,21.545075,7.468575,3.006564,2.832403,-6.472884,0.000000,1.515402
0.010000,21.546633,7.496532,3.034565,2.767674,-6.472884,-0.000000,1.514868
0.010000,21.548167,7.523843,3.061918,2.702945,-6.472884,0.000000,1.514610
0.010000,21.549667,7.550506,3.088623,2.638216,-6.472884,0.000000,1.514610
0.010000,21.551128,7.576524,3.114682,2.573487,-6.472884,-0.000000,1.514849
0.010000,21.552543,7.601896,3.140093,2.508758,-6.472884,0.000000,1.515310
0.010000,21.553909,7.626622,3.164857,2.444030,-6.472884,0.000000,1.515977
0.010000,21.555220,7.650703,3.188974,2.379301,-6.472884,0.000000,1.516833
0.010000,21.556474,7.674139,3.212443,2.314572,-6.472884,0.000000,1.517864
0.010000,21.557669,7.696929,3.235265,2.249843,-6.472884,-0.000000,1.519054
0.010000,21.558801,7.719075,3.257440,2.185114,-6.472884,0.000000,1.520389
0.010000,21.559870,7.740576,3.278967,2.120385,-6.472884,0.000000,1.521855
0.010000,21.560876,7.761432,3.299848,2.055657,-6.472884,-0.000000,1.523439
0.010000,21.561817,7.781643,3.320081,1.990928,-6.472884,0.000000,1.525127
0.010000,21.562694,7.801209,3.339666,1.926199,-6.472884,-0.000000,1.526907
0.010000,21.563507,7.820130,3.358605,1.861470,-6.472884,0.000000,1.528765
0.010000,21.564258,7.838406,3.376896,1.796741,-6.472884,0.000000,1.530690
0.010000,21.564949,7.856036,3.394539,1.732012,-6.472884,0.000000,1.532669
0.010000,21.565579,7.873021,3.411536,1.667283,-6.472884,0.000000,1.534690
0.010000,21.566153,7.889360,3.427885,1.602555,-6.472884,-0.000000,1.536742
0.010000,21.566671,7.905053,3.443587,1.537826,-6.472884,0.000000,1.538814
0.010000,21.567137,7.920101,3.458642,1.473097,-6.472884,0.000000,1.540894
0.010000,21.567553,7.934502,3.473049,1.408368,-6.472884,-0.000000,1.542972
0.010000,21.567922,7.948257,3.486809,1.343639,-6.472884,0.000000,1.545037
0.010000,21.568246,7.961366,3.499922,1.278910,-6.472884,-0.000000,1.547079
0.010000,21.568529,7.973828,3.512387,1.214182,-6.472884,0.000000,1.549088
0.010000,21.568774,7.985644,3.524205,1.149453,-6.472884,0.000000,1.551055
0.010000,21.568984,7.996813,3.535376,1.084724,-6.472884,-0.000000,1.552970
0.010000,21.569162,8.007335,3.545900,1.019995,-6.472884,0.000000,1.554824
0.010000,21.569311,8.017210,3.555776,0.955266,-6.472884,-0.000000,1.556608
0.010000,21.569434,8.026438,3.565005,0.890537,-6.472884,0.000000,1.558315
0.010000,21.569534,8.035019,3.573587,0.825809,-6.472884,-0.000000,1.559938
0.010000,21.569615,8.042953,3.581521,0.761080,-6.472884,0.000000,1.561467
0.010000,21.569677,8.050240,3.588808,0.696351,-6.472884,0.000000,1.562898
0.010000,21.569725,8.056880,3.595448,0.631622,-6.472884,0.000000,1.564223
0.010000,21.569761,8.062872,3.601441,0.566893,-6.472884,0.000000,1.565436
0.010000,21.569787,8.068218,3.606786,0.502164,-6.472884,0.000000,1.566533
0.010000,21.569805,8.072916,3.611484,0.437435,-6.472884,-0.000000,1.567508
0.010000,21.569816,8.076966,3.615535,0.372707,-6.472884,0.000000,1.568357
0.010000,21.569823,8.080370,3.618938,0.307978,-6.472884,0.000000,1.569076
0.010000,21.569827,8.083126,3.621694,0.243249,-6.472884,-0.000000,1.569663
0.010000,21.569829,8.085235,3.623803,0.178520,-6.472884,0.000000,1.570114
0.010000,21.569830,8.086712,3.625281,0.116925,-6.159556,31.332820,1.570432
0.010000,21.569830,8.087638,3.626207,0.068275,-4.864979,129.457684,1.570631
0.010000,21.569830,8.088142,3.626711,0.032571,-3.570402,129.457684,1.570740
0.010000,21.569830,8.088354,3.626923,0.009812,-2.275825,129.457684,1.570786
0.010000,21.569830,8.088403,3.626972,0.000000,-0.981249,129.457684,1.570796
0.010000,21.569830,8.088403,3.626972,0.000000,0.000000,98.124863,1.570796
