dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,23.098629,6.459999,0.000065,0.012946,1.294577,129.457684,3.143020
0.010000,23.098690,6.459999,0.000125,0.006061,-0.688431,-198.300747,3.142957
0.010000,23.098827,6.459999,0.000262,0.013642,0.758043,144.647368,3.142815
0.010000,23.099069,6.460000,0.000504,0.024265,1.062268,30.422529,3.142562
0.010000,23.099449,6.460000,0.000884,0.037945,1.368042,30.577394,3.142167
0.010000,23.099980,6.460000,0.001416,0.053188,1.524281,15.623854,3.141613
0.010000,23.097835,6.460001,0.003562,0.214577,16.138879,1461.459792,3.140899
0.010000,23.095116,6.460004,0.006280,0.271865,5.728819,-1041.005958,3.140023
0.010000,23.091906,6.460011,0.009491,0.321051,4.918605,-81.021389,3.138984
0.010000,23.088207,6.460022,0.013189,0.369882,4.883095,-3.551005,3.137780
0.010000,23.084022,6.460041,0.017374,0.418446,4.856418,-2.667703,3.136407
0.010000,23.079355,6.460069,0.022042,0.466758,4.831175,-2.524332,3.134864
0.010000,23.074208,6.460108,0.027189,0.514738,4.798075,-3.309973,3.133147
0.010000,23.068584,6.460161,0.032813,0.562370,4.763155,-3.492020,3.131252
0.010000,23.062487,6.460230,0.038911,0.609806,4.743647,-1.950793,3.129174
0.010000,23.055923,6.460319,0.045475,0.656424,4.661775,-8.187182,3.126911
0.010000,23.048894,6.460431,0.052505,0.703007,4.658255,-0.351968,3.124456
0.010000,23.041408,6.460569,0.059992,0.748722,4.571550,-8.670573,3.121804
0.010000,23.033470,6.460738,0.067932,0.793959,4.523645,-4.790446,3.118950
0.010000,23.025086,6.460940,0.076318,0.838616,4.465728,-5.791718,3.115886
0.010000,23.016264,6.461182,0.085144,0.882590,4.397394,-6.833429,3.112605
0.010000,23.007010,6.461466,0.094402,0.925772,4.318231,-7.916255,3.109100
0.010000,22.997335,6.461799,0.104082,0.968051,4.227823,-9.040815,3.105363
0.010000,22.987245,6.462184,0.114180,1.009763,4.171288,-5.653549,3.101384
0.010000,22.976753,6.462629,0.124681,1.050138,4.037490,-13.379802,3.097153
0.010000,22.965868,6.463137,0.135579,1.089746,3.960730,-7.675930,3.092659
