dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,3.916700,13.500000,0.000065,0.012922,1.292182,129.218161,0.000000
0.010000,3.916700,13.500000,0.000323,0.038765,2.584363,129.218161,0.000000
0.010000,3.916700,13.500000,0.000905,0.077531,3.876545,129.218161,0.000000
0.010000,3.916700,13.500000,0.001938,0.129218,5.168726,129.218161,0.000000
0.010000,3.916700,13.500000,0.003553,0.193827,6.460908,129.218161,0.000000
0.010000,3.916700,13.500000,0.005815,0.258436,6.460908,0.000000,0.000000
0.010000,3.916700,13.500000,0.008722,0.323045,6.460908,0.000000,0.000000
0.010000,3.917792,13.500000,0.012276,0.387654,6.460908,-0.000000,0.000000
0.010000,3.921992,13.500000,0.016475,0.452264,6.460908,0.000000,0.000000
0.010000,3.926838,13.500000,0.021321,0.516873,6.460908,0.000000,0.000000
0.010000,3.932329,13.500000,0.026813,0.581482,6.460908,-0.000000,0.000000
0.010000,3.938467,13.500000,0.032951,0.646091,6.460908,0.000000,0.000000
0.010000,3.945251,13.500000,0.039735,0.710700,6.460908,-0.000000,0.000000
0.010000,3.952681,13.500000,0.047165,0.775309,6.460908,0.000000,0.000000
0.010000,3.960757,13.500000,0.055241,0.839918,6.460908,0.000000,0.000000
0.010000,3.969480,13.500000,0.063963,0.904527,6.460908,-0.000000,0.000000
0.010000,3.978848,13.500000,0.073331,0.969136,6.460908,0.000000,0.000000
0.010000,3.988862,13.500000,0.083346,1.033745,6.460908,0.000000,0.000000
0.010000,3.999523,13.500000,0.094006,1.098354,6.460908,-0.000000,0.000000
0.010000,4.010830,13.500000,0.105313,1.162963,6.460908,0.000000,0.000000
0.010000,4.022782,13.500000,0.117265,1.227573,6.460908,-0.000000,0.000000
0.010000,4.035381,13.500000,0.129864,1.292182,6.460908,0.000000,0.000000
0.010000,4.048626,13.500000,0.143109,1.356791,6.460908,-0.000000,0.000000
0.010000,4.062517,13.500000,0.157000,1.421400,6.460908,0.000000,0.000000
0.010000,4.077054,13.500000,0.171537,1.486009,6.460908,0.000000,0.000000
0.010000,4.092237,13.500000,0.186720,1.550618,6.460908,0.000000,0.000000
0.010000,4.108066,13.500000,0.202549,1.615227,6.460908,0.000000,0.000000
0.010000,4.124541,13.500000,0.219025,1.679836,6.460908,-0.000000,0.000000
0.010000,4.141663,13.500000,0.236146,1.744445,6.460908,0.000000,0.000000
0.010000,4.159430,13.500000,0.253914,1.809054,6.460908,-0.000000,0.000000
